Respondent,DatabaseDesireNextYear,DatabaseWorkedWith
1013,PostgreSQL,
1013,Redis,
1013,SQLite,
1026,MariaDB,MariaDB
1026,,MongoDB
1026,MongoDB,
1026,PostgreSQL,
1035,MongoDB,Elasticsearch
1035,,MongoDB
1035,,MySQL
1035,,Oracle
1035,,PostgreSQL
1035,PostgreSQL,
1035,Redis,
1045,DynamoDB,Microsoft SQL Server
1045,,MySQL
1045,Microsoft SQL Server,
1045,MySQL,
1045,Redis,
1051,Cassandra,MariaDB
1051,,MongoDB
1051,,MySQL
1051,,SQLite
1051,MongoDB,
1053,Microsoft SQL Server,Microsoft SQL Server
1053,,MongoDB
1066,Cassandra,Elasticsearch
1066,,Firebase
1066,,Microsoft SQL Server
1066,,MongoDB
1066,,MySQL
1066,,PostgreSQL
1066,Couchbase,
1066,Redis,
1077,DynamoDB,DynamoDB
1077,,MySQL
1077,Elasticsearch,
1077,Firebase,
1077,MariaDB,
1077,Microsoft SQL Server,
1077,MongoDB,
1077,MySQL,
1077,PostgreSQL,
1077,Redis,
1098,DynamoDB,Firebase
1098,,Microsoft SQL Server
1098,,MongoDB
1098,,Oracle
1098,,PostgreSQL
1098,,Redis
1098,Firebase,
1098,MongoDB,
1098,PostgreSQL,
1098,Redis,
1118,PostgreSQL,PostgreSQL
1121,MongoDB,Microsoft SQL Server
1121,,MongoDB
1121,,Oracle
1121,,Redis
1121,Redis,
1128,Elasticsearch,Elasticsearch
1128,,MongoDB
1128,,MySQL
1128,,PostgreSQL
1128,,Redis
1128,MySQL,
1128,PostgreSQL,
1128,Redis,
1144,DynamoDB,DynamoDB
1144,,Firebase
1144,,MariaDB
1144,,Microsoft SQL Server
1144,,MySQL
1144,,Oracle
1144,,PostgreSQL
1144,,Redis
1144,,SQLite
1164,MongoDB,Microsoft SQL Server
1164,,SQLite
1166,Elasticsearch,Elasticsearch
1166,,MySQL
1166,,Redis
1166,MySQL,
1166,Redis,
1168,PostgreSQL,Elasticsearch
1168,,IBM DB2
1168,,MariaDB
1168,,Microsoft SQL Server
1168,,MongoDB
1168,,Oracle
1168,,PostgreSQL
1168,,Redis
1168,Redis,
1174,Microsoft SQL Server,Firebase
1174,,Microsoft SQL Server
1174,,MySQL
1174,Redis,
1174,SQLite,
1177,Microsoft SQL Server,Microsoft SQL Server
1188,MongoDB,MySQL
1188,,PostgreSQL
1188,,SQLite
1190,MongoDB,Firebase
1190,,MongoDB
1190,,PostgreSQL
1190,,Redis
1190,PostgreSQL,
1190,Redis,
1197,Elasticsearch,MariaDB
1197,,MongoDB
1197,,MySQL
1197,,Oracle
1197,,PostgreSQL
1197,,Redis
1197,PostgreSQL,
1197,Redis,
1198,MariaDB,MariaDB
1198,,MySQL
1198,MySQL,
1206,Cassandra,Elasticsearch
1206,,Microsoft SQL Server
1206,,Redis
1206,DynamoDB,
1206,Elasticsearch,
1206,Microsoft SQL Server,
1206,Redis,
1216,MariaDB,MariaDB
1216,,MySQL
1216,,PostgreSQL
1216,,Redis
1216,,SQLite
1216,MySQL,
1216,PostgreSQL,
1216,Redis,
1216,SQLite,
1219,Elasticsearch,DynamoDB
1219,,Elasticsearch
1219,,IBM DB2
1219,,Microsoft SQL Server
1219,,Redis
1219,Microsoft SQL Server,
1219,MySQL,
1219,PostgreSQL,
1219,Redis,
1221,Microsoft SQL Server,Microsoft SQL Server
1221,,MongoDB
1221,MongoDB,
1234,MySQL,DynamoDB
1234,,Microsoft SQL Server
1234,,MongoDB
1234,,MySQL
1234,,Redis
1234,PostgreSQL,
1234,Redis,
1240,Firebase,Firebase
1240,,Microsoft SQL Server
1240,,MongoDB
1240,,PostgreSQL
1240,MongoDB,
1246,DynamoDB,DynamoDB
1246,,Elasticsearch
1246,,Firebase
1246,,MySQL
1246,,PostgreSQL
1246,,Redis
1246,,SQLite
1246,Elasticsearch,
1246,Firebase,
