Respondent,DatabaseDesireNextYear,DatabaseWorkedWith
25235,,MySQL
25235,,Redis
25235,Firebase,
25235,PostgreSQL,
25235,Redis,
25240,Elasticsearch,Couchbase
25240,,MongoDB
25240,,PostgreSQL
25240,,Redis
25240,Redis,
25260,PostgreSQL,MySQL
25260,,PostgreSQL
25260,,SQLite
25262,Firebase,Firebase
25262,,MongoDB
25262,,SQLite
25262,MongoDB,
25262,SQLite,
25269,Elasticsearch,Elasticsearch
25269,,Firebase
25269,,MongoDB
25269,,PostgreSQL
25269,,Redis
25269,Firebase,
25269,MongoDB,
25269,PostgreSQL,
25273,PostgreSQL,Microsoft SQL Server
25273,,Oracle
25273,,PostgreSQL
25273,Redis,
25296,Microsoft SQL Server,Firebase
25296,,Microsoft SQL Server
25296,PostgreSQL,
25296,Redis,
25304,Cassandra,Cassandra
25304,,Couchbase
25304,,IBM DB2
25304,,MongoDB
25304,,MySQL
25304,,PostgreSQL
25304,Couchbase,
25304,Elasticsearch,
25304,Firebase,
25304,IBM DB2,
25304,MariaDB,
25304,MongoDB,
25304,MySQL,
25304,PostgreSQL,
25304,SQLite,
25315,Cassandra,PostgreSQL
25315,MongoDB,
25315,PostgreSQL,
25318,Firebase,Firebase
25318,,SQLite
25318,SQLite,
25326,DynamoDB,PostgreSQL
25326,Elasticsearch,
25326,PostgreSQL,
25336,Firebase,IBM DB2
25336,,MariaDB
25336,,Microsoft SQL Server
25336,,MongoDB
25336,,MySQL
25336,,Oracle
25336,,PostgreSQL
25336,MySQL,
25336,Oracle,
25336,Redis,
25350,MariaDB,MariaDB
25350,,Microsoft SQL Server
25350,,MySQL
25350,,Oracle
25350,,PostgreSQL
25350,,SQLite
25350,Microsoft SQL Server,
25350,MySQL,
25350,Oracle,
25350,PostgreSQL,
25350,SQLite,
25356,Cassandra,Microsoft SQL Server
25356,,PostgreSQL
25356,,SQLite
25356,Elasticsearch,
25356,MongoDB,
25356,PostgreSQL,
25356,SQLite,
25360,Elasticsearch,Elasticsearch
25360,,MongoDB
25360,,PostgreSQL
25360,,Redis
25360,MongoDB,
25360,PostgreSQL,
25360,Redis,
25370,Microsoft SQL Server,Microsoft SQL Server
25370,,MySQL
25370,,Oracle
25370,PostgreSQL,
25370,SQLite,
25378,Cassandra,MariaDB
25378,,MySQL
25378,Elasticsearch,
25378,MongoDB,
25389,Firebase,MySQL
25389,,Redis
25389,,SQLite
25389,MongoDB,
25389,MySQL,
25389,Redis,
25391,MySQL,MariaDB
25391,,MongoDB
25391,,MySQL
25391,PostgreSQL,
25400,PostgreSQL,Elasticsearch
25400,,PostgreSQL
25400,,Redis
25400,Redis,
25404,DynamoDB,DynamoDB
25404,Elasticsearch,
25404,Redis,
25418,Elasticsearch,MariaDB
25418,,MySQL
25418,,Redis
25418,MariaDB,
25418,PostgreSQL,
25418,Redis,
25428,Elasticsearch,DynamoDB
25428,,Elasticsearch
25428,,PostgreSQL
25428,PostgreSQL,
25467,Cassandra,MariaDB
25467,,Microsoft SQL Server
25467,,Oracle
25467,,PostgreSQL
25467,,SQLite
25467,MariaDB,
25467,MongoDB,
25468,Microsoft SQL Server,Cassandra
25468,,Microsoft SQL Server
25468,,MySQL
25468,,Oracle
25468,,Redis
25468,Redis,
25469,MongoDB,MongoDB
25469,,PostgreSQL
25469,,Redis
25469,PostgreSQL,
25469,Redis,
25474,Microsoft SQL Server,Microsoft SQL Server
25474,,MySQL
25474,,PostgreSQL
25474,PostgreSQL,
25508,Elasticsearch,Elasticsearch
25508,,Microsoft SQL Server
25508,,MySQL
25508,,Oracle
25508,,PostgreSQL
25508,,Redis
25508,,SQLite
25508,Oracle,
25508,PostgreSQL,
25508,Redis,
25512,Firebase,Firebase
25512,,Microsoft SQL Server
25512,Microsoft SQL Server,
25512,PostgreSQL,
25512,Redis,
25513,MySQL,MySQL
25513,,PostgreSQL
25513,PostgreSQL,
25528,Microsoft SQL Server,Microsoft SQL Server
25528,,Oracle
25528,,PostgreSQL
25528,,SQLite
25528,SQLite,
25530,Firebase,Firebase
25553,Elasticsearch,PostgreSQL
25553,,Redis
25553,MongoDB,
25553,PostgreSQL,
25553,Redis,
25557,DynamoDB,DynamoDB
25557,,Elasticsearch
25557,,Firebase
25557,,MySQL
25557,,Oracle
25557,,PostgreSQL
25557,,Redis
25557,Elasticsearch,
25557,Firebase,
25557,MySQL,
25557,PostgreSQL,
25557,Redis,
25559,MariaDB,MariaDB
25559,,MongoDB
25559,,SQLite
25559,PostgreSQL,
25559,SQLite,
25562,MariaDB,MariaDB
25562,,Microsoft SQL Server
25562,,SQLite
25575,DynamoDB,Elasticsearch
25575,,Microsoft SQL Server
25575,,MongoDB
25575,,PostgreSQL
25575,,Redis
25575,Elasticsearch,
25575,Firebase,
25575,Microsoft SQL Server,
25575,MongoDB,
25575,PostgreSQL,
25575,Redis,
25583,MongoDB,Microsoft SQL Server
25583,,MySQL
25583,,Oracle
25583,PostgreSQL,
25587,Elasticsearch,Elasticsearch
25587,,PostgreSQL
25587,,Redis
25587,PostgreSQL,
25587,Redis,
25595,Elasticsearch,MariaDB
25595,,MongoDB
25595,,MySQL
25595,,PostgreSQL
25595,,SQLite
25595,Firebase,
25595,Redis,
25602,Elasticsearch,MongoDB
25602,,MySQL
25602,,PostgreSQL
25602,MongoDB,
25602,MySQL,
25602,PostgreSQL,
25606,Firebase,Microsoft SQL Server
25606,,MySQL
25606,,SQLite
25606,Microsoft SQL Server,
25606,MongoDB,
25606,SQLite,
25611,Elasticsearch,Elasticsearch
25611,,MariaDB
25611,,Microsoft SQL Server
25611,,MySQL
25611,,PostgreSQL
25611,,Redis
25611,,SQLite
25611,Microsoft SQL Server,
25611,MySQL,
25611,Oracle,
25611,PostgreSQL,
25611,Redis,
25611,SQLite,
25614,Microsoft SQL Server,Microsoft SQL Server
25614,,MySQL
25614,,PostgreSQL
25614,,SQLite
25614,Redis,
25621,Cassandra,MariaDB
25621,,Microsoft SQL Server
25621,,MongoDB
25621,,MySQL
25621,,Redis
25621,,SQLite
25621,MariaDB,
25621,Microsoft SQL Server,
25621,MongoDB,
25621,MySQL,
25621,PostgreSQL,
25621,Redis,
25621,SQLite,
25643,Microsoft SQL Server,Microsoft SQL Server
25643,MongoDB,
25643,PostgreSQL,
25644,PostgreSQL,Microsoft SQL Server
25644,,PostgreSQL
25648,Elasticsearch,DynamoDB
25648,,Microsoft SQL Server
25648,,MySQL
25648,,PostgreSQL
25648,,SQLite
25648,MariaDB,
25648,PostgreSQL,
25648,SQLite,
25658,Firebase,DynamoDB
25658,,Firebase
25671,Elasticsearch,Elasticsearch
25671,,Microsoft SQL Server
25671,,MySQL
25671,,PostgreSQL
25671,,Redis
25671,,SQLite
25671,Microsoft SQL Server,
25671,MySQL,
25671,PostgreSQL,
25671,Redis,
25671,SQLite,
25681,MariaDB,MariaDB
25681,,MySQL
25681,,PostgreSQL
25681,,SQLite
25681,MySQL,
25681,PostgreSQL,
25681,Redis,
25681,SQLite,
25718,Microsoft SQL Server,Microsoft SQL Server
25718,,PostgreSQL
25718,MongoDB,
25718,PostgreSQL,
25723,Elasticsearch,PostgreSQL
25723,PostgreSQL,
25723,Redis,
25744,Microsoft SQL Server,Microsoft SQL Server
25752,Microsoft SQL Server,Microsoft SQL Server
25766,Microsoft SQL Server,Microsoft SQL Server
25766,,MySQL
25766,,PostgreSQL
25766,,SQLite
25766,Redis,
25784,Microsoft SQL Server,Microsoft SQL Server
25786,MySQL,MySQL
25786,,SQLite
25786,Redis,
25786,SQLite,
25787,Microsoft SQL Server,Microsoft SQL Server
25787,PostgreSQL,
25790,Couchbase,Cassandra
25790,,Couchbase
25790,,Firebase
25790,,IBM DB2
25790,,MariaDB
25790,,Microsoft SQL Server
25790,,MongoDB
25790,,MySQL
25790,,Oracle
25790,,PostgreSQL
25790,,SQLite
25790,Elasticsearch,
25790,MariaDB,
25790,Microsoft SQL Server,
25790,MongoDB,
25790,MySQL,
25790,Oracle,
25790,PostgreSQL,
25790,SQLite,
25795,Cassandra,Elasticsearch
25795,,Firebase
25795,,MySQL
25795,,PostgreSQL
25795,Elasticsearch,
25795,PostgreSQL,
25802,Firebase,MySQL
25802,MySQL,
25817,Microsoft SQL Server,Microsoft SQL Server
25817,MySQL,
25817,Redis,
25817,SQLite,
25820,Firebase,DynamoDB
25820,,Firebase
25820,,MongoDB
25830,Cassandra,DynamoDB
25830,,MongoDB
25830,,PostgreSQL
25830,,Redis
25830,DynamoDB,
25830,MariaDB,
25830,Microsoft SQL Server,
25830,PostgreSQL,
25830,Redis,
25831,Cassandra,Elasticsearch
25831,,MySQL
25831,,PostgreSQL
25831,,Redis
25831,,SQLite
25831,Elasticsearch,
25831,MongoDB,
25831,MySQL,
25831,PostgreSQL,
25831,Redis,
25831,SQLite,
25832,Elasticsearch,Microsoft SQL Server
25832,,MySQL
25832,,Oracle
25832,MongoDB,
25832,Redis,
25841,Elasticsearch,Elasticsearch
25841,,MariaDB
25841,,MySQL
25841,,SQLite
25841,MariaDB,
25841,MongoDB,
25841,MySQL,
25872,Microsoft SQL Server,Microsoft SQL Server
25872,,PostgreSQL
25872,PostgreSQL,
25873,Elasticsearch,Elasticsearch
25873,,Microsoft SQL Server
25873,,Oracle
25873,MariaDB,
25873,MongoDB,
25873,Redis,
25883,PostgreSQL,Microsoft SQL Server
25883,,PostgreSQL
25886,DynamoDB,Elasticsearch
25886,,MongoDB
25886,,PostgreSQL
25886,,Redis
25886,Elasticsearch,
25886,Firebase,
25886,MongoDB,
25886,PostgreSQL,
25886,Redis,
25901,DynamoDB,DynamoDB
25901,,MongoDB
25901,,MySQL
25901,,Oracle
25901,,Redis
25901,,SQLite
25901,MongoDB,
25901,MySQL,
25901,Redis,
25901,SQLite,
25902,Microsoft SQL Server,Microsoft SQL Server
25902,,SQLite
25902,SQLite,
25918,PostgreSQL,MySQL
25918,,PostgreSQL
25919,DynamoDB,DynamoDB
25919,,Microsoft SQL Server
25919,,MongoDB
25919,,PostgreSQL
25919,,Redis
25919,Microsoft SQL Server,
25919,PostgreSQL,
25919,Redis,
25926,Elasticsearch,DynamoDB
25926,,MySQL
25926,,PostgreSQL
25926,,Redis
25926,,SQLite
25926,Firebase,
25926,MySQL,
25926,PostgreSQL,
25926,Redis,
25926,SQLite,
25941,Elasticsearch,Elasticsearch
25941,,MySQL
25941,,SQLite
25941,MySQL,
25941,Redis,
25941,SQLite,
25950,MariaDB,MariaDB
25950,MongoDB,
25950,PostgreSQL,
25952,Elasticsearch,Elasticsearch
25952,,Microsoft SQL Server
25952,,Oracle
25952,,Redis
25952,Microsoft SQL Server,
25952,MongoDB,
25952,Redis,
25957,MongoDB,Firebase
25957,,MongoDB
25957,,PostgreSQL
25957,PostgreSQL,
25981,DynamoDB,DynamoDB
25981,,Elasticsearch
25981,,Microsoft SQL Server
25981,,MySQL
25981,Elasticsearch,
25981,Microsoft SQL Server,
25981,MongoDB,
25981,MySQL,
25981,PostgreSQL,
25991,Firebase,MongoDB
25991,,PostgreSQL
25991,MariaDB,
25991,Redis,
25993,Elasticsearch,Elasticsearch
25993,,MariaDB
25993,,MongoDB
25993,,MySQL
25993,,Redis
25993,MariaDB,
25993,MongoDB,
25993,MySQL,
25993,Redis,
25997,Microsoft SQL Server,Microsoft SQL Server
25997,,MySQL
25997,MongoDB,
26008,Elasticsearch,MongoDB
26008,Firebase,
26008,PostgreSQL,
26008,Redis,
26013,MySQL,MySQL
26013,PostgreSQL,
26013,Redis,
26026,MongoDB,Elasticsearch
26026,,MariaDB
26026,,MongoDB
26026,,Redis
26030,MariaDB,MariaDB
26030,,MongoDB
26030,,PostgreSQL
26030,PostgreSQL,
26031,Microsoft SQL Server,Microsoft SQL Server
26031,,PostgreSQL
26031,,Redis
26031,,SQLite
26031,PostgreSQL,
26031,Redis,
26031,SQLite,
26037,Cassandra,Microsoft SQL Server
26037,,MongoDB
26037,,PostgreSQL
26037,,Redis
26037,Redis,
26046,DynamoDB,DynamoDB
26046,,PostgreSQL
26046,PostgreSQL,
26047,Microsoft SQL Server,Microsoft SQL Server
26047,,Oracle
26047,PostgreSQL,
26047,Redis,
26058,PostgreSQL,PostgreSQL
26070,Cassandra,IBM DB2
26070,,Microsoft SQL Server
26070,,MySQL
26070,,Oracle
26070,,SQLite
26070,Elasticsearch,
26070,IBM DB2,
26070,Microsoft SQL Server,
26070,MongoDB,
26070,MySQL,
26070,Oracle,
26070,Redis,
26070,SQLite,
26075,MySQL,Firebase
26075,,MariaDB
26075,,MongoDB
26075,,MySQL
26075,,PostgreSQL
26078,Cassandra,Elasticsearch
26078,,MariaDB
26078,,Microsoft SQL Server
26078,,MongoDB
26078,,MySQL
26078,,PostgreSQL
26078,Couchbase,
26078,Elasticsearch,
26078,MariaDB,
26078,Microsoft SQL Server,
26078,MongoDB,
26078,MySQL,
26078,PostgreSQL,
26082,Microsoft SQL Server,Microsoft SQL Server
26082,,MySQL
26082,,PostgreSQL
26082,,SQLite
26082,PostgreSQL,
26103,Microsoft SQL Server,Microsoft SQL Server
26103,,MySQL
26103,,Oracle
26103,,PostgreSQL
26103,MySQL,
26107,PostgreSQL,MongoDB
26107,,PostgreSQL
26107,,SQLite
26107,Redis,
26107,SQLite,
26110,Elasticsearch,MySQL
26110,,Redis
26110,MySQL,
26110,PostgreSQL,
26110,Redis,
26115,DynamoDB,DynamoDB
26115,,MySQL
26115,MySQL,
26117,DynamoDB,Elasticsearch
26117,,MongoDB
26117,,PostgreSQL
26117,,Redis
26117,Elasticsearch,
26117,PostgreSQL,
26117,Redis,
26118,DynamoDB,DynamoDB
26118,,MongoDB
26118,,Oracle
26118,,PostgreSQL
26118,MongoDB,
26118,Redis,
26143,Microsoft SQL Server,Microsoft SQL Server
26143,,Oracle
26143,MongoDB,
26143,PostgreSQL,
26143,SQLite,
26165,MySQL,MySQL
26170,Cassandra,Microsoft SQL Server
26170,Elasticsearch,
26170,Microsoft SQL Server,
26170,MongoDB,
26186,Cassandra,Cassandra
26186,,DynamoDB
26186,,MongoDB
26186,,MySQL
26186,,Oracle
26186,DynamoDB,
26186,MongoDB,
26186,MySQL,
26207,Elasticsearch,MongoDB
26207,,PostgreSQL
26207,,Redis
26207,,SQLite
26207,MongoDB,
26207,PostgreSQL,
26207,Redis,
26207,SQLite,
26216,Microsoft SQL Server,Microsoft SQL Server
26216,,MongoDB
26216,MongoDB,
26216,Redis,
26217,MongoDB,MongoDB
26217,,Redis
26217,PostgreSQL,
26217,Redis,
26230,PostgreSQL,DynamoDB
26230,,Elasticsearch
26230,,PostgreSQL
26230,,Redis
26230,Redis,
26230,SQLite,
26248,Elasticsearch,Elasticsearch
26248,,Microsoft SQL Server
26248,,PostgreSQL
26248,,Redis
26248,,SQLite
26248,Microsoft SQL Server,
26248,PostgreSQL,
26248,Redis,
26248,SQLite,
26263,Elasticsearch,Microsoft SQL Server
26263,,Redis
26263,Redis,
26279,PostgreSQL,Microsoft SQL Server
26279,Redis,
26279,SQLite,
26286,Elasticsearch,Elasticsearch
26286,,MariaDB
26286,,Microsoft SQL Server
26286,,MongoDB
26286,,MySQL
26286,,Oracle
26286,,PostgreSQL
26286,,Redis
26286,,SQLite
26286,MongoDB,
26286,PostgreSQL,
26286,Redis,
26310,MongoDB,MySQL
26310,MySQL,
26320,SQLite,SQLite
26321,Firebase,Firebase
26321,,MySQL
26321,,SQLite
26321,MySQL,
26321,SQLite,
26328,Elasticsearch,Firebase
26328,Firebase,
26328,MongoDB,
26328,MySQL,
26328,PostgreSQL,
26352,DynamoDB,DynamoDB
26352,,Microsoft SQL Server
26352,,MongoDB
26352,,PostgreSQL
26352,,Redis
26352,Microsoft SQL Server,
26367,Elasticsearch,Elasticsearch
26367,,Firebase
26367,,MongoDB
26367,,PostgreSQL
26367,,Redis
26367,,SQLite
26367,Firebase,
26367,MongoDB,
26367,PostgreSQL,
26367,Redis,
26367,SQLite,
26387,PostgreSQL,MySQL
26387,,PostgreSQL
26387,,Redis
26387,Redis,
26389,SQLite,SQLite
26412,DynamoDB,DynamoDB
26412,,Microsoft SQL Server
26412,,MongoDB
26412,,Redis
26412,MongoDB,
26412,Redis,
26417,Cassandra,Microsoft SQL Server
26417,,MongoDB
26417,,PostgreSQL
26417,,SQLite
26417,Couchbase,
26417,DynamoDB,
26417,Firebase,
26417,MariaDB,
26417,Microsoft SQL Server,
26417,MongoDB,
26417,PostgreSQL,
26417,SQLite,
26451,MongoDB,MariaDB
26451,,MongoDB
26451,,MySQL
26451,,PostgreSQL
26451,,SQLite
26451,MySQL,
26451,PostgreSQL,
26451,Redis,
26454,MongoDB,Microsoft SQL Server
26454,,Oracle
26454,SQLite,
26465,DynamoDB,DynamoDB
26465,,PostgreSQL
26465,,Redis
26465,Elasticsearch,
26465,PostgreSQL,
26465,Redis,
26466,MySQL,MySQL
26474,DynamoDB,PostgreSQL
26474,,Redis
26474,PostgreSQL,
26474,Redis,
26482,Elasticsearch,Elasticsearch
26482,,MongoDB
26482,,MySQL
26482,,PostgreSQL
26482,MongoDB,
26482,MySQL,
26482,PostgreSQL,
26532,PostgreSQL,PostgreSQL
26555,Redis,Microsoft SQL Server
26555,,PostgreSQL
26555,,Redis
26563,Elasticsearch,Microsoft SQL Server
26563,Microsoft SQL Server,
26563,PostgreSQL,
26563,SQLite,
26584,Microsoft SQL Server,Microsoft SQL Server
26584,,Redis
26584,MongoDB,
26584,Redis,
26589,MongoDB,MySQL
26589,MySQL,
26606,PostgreSQL,Elasticsearch
26606,,PostgreSQL
26643,MongoDB,MySQL
26643,,PostgreSQL
26643,,Redis
26643,,SQLite
26643,PostgreSQL,
26654,Microsoft SQL Server,Microsoft SQL Server
26654,MongoDB,
26654,SQLite,
26668,Elasticsearch,PostgreSQL
26668,PostgreSQL,
26668,Redis,
26671,MongoDB,DynamoDB
26671,,Elasticsearch
26671,,MySQL
26671,,PostgreSQL
26671,,Redis
26671,MySQL,
26671,PostgreSQL,
26671,Redis,
26675,Cassandra,MariaDB
26675,,MySQL
26675,MariaDB,
26675,MySQL,
26683,MongoDB,Elasticsearch
26683,,MariaDB
26683,,MySQL
26685,Microsoft SQL Server,Firebase
26685,,PostgreSQL
26685,,Redis
26685,,SQLite
26685,PostgreSQL,
26685,Redis,
26685,SQLite,
26726,DynamoDB,DynamoDB
26726,,Microsoft SQL Server
26726,,Redis
26726,Redis,
26741,Elasticsearch,Elasticsearch
26741,,Firebase
26741,,MongoDB
26741,,PostgreSQL
26741,PostgreSQL,
26765,Elasticsearch,Elasticsearch
26765,,MariaDB
26765,,MySQL
26765,,Redis
26765,MariaDB,
26765,PostgreSQL,
26765,Redis,
26765,SQLite,
26776,MariaDB,MariaDB
26776,,MySQL
26776,,PostgreSQL
26776,,Redis
26776,,SQLite
26776,MySQL,
26776,PostgreSQL,
26776,Redis,
26776,SQLite,
26785,Elasticsearch,Elasticsearch
26785,,Microsoft SQL Server
26785,,MySQL
26785,,PostgreSQL
26785,,Redis
26785,,SQLite
26785,Firebase,
26785,Microsoft SQL Server,
26785,Oracle,
26785,Redis,
26787,Cassandra,Microsoft SQL Server
26787,,MongoDB
26787,,MySQL
26787,,PostgreSQL
26787,,SQLite
26787,Elasticsearch,
26787,Firebase,
26787,MongoDB,
26787,MySQL,
26787,PostgreSQL,
26787,Redis,
26787,SQLite,
26805,Elasticsearch,Elasticsearch
26805,,PostgreSQL
26805,,Redis
26805,Microsoft SQL Server,
26810,Cassandra,Elasticsearch
26810,,MongoDB
26810,,Redis
26810,,SQLite
26810,Elasticsearch,
26810,Redis,
26810,SQLite,
26825,MongoDB,MariaDB
26825,,Microsoft SQL Server
26825,,MySQL
26825,Oracle,
26825,PostgreSQL,
26825,Redis,
26827,MongoDB,MongoDB
26827,,PostgreSQL
26834,Elasticsearch,DynamoDB
26834,,MongoDB
26834,,MySQL
26834,,PostgreSQL
26834,,Redis
26842,Elasticsearch,Elasticsearch
26842,,PostgreSQL
26842,,Redis
26842,,SQLite
26842,MongoDB,
26842,PostgreSQL,
26842,Redis,
26842,SQLite,
26848,DynamoDB,Couchbase
26848,,IBM DB2
26848,,MongoDB
26848,,Redis
26848,,SQLite
26848,Elasticsearch,
26848,Firebase,
26848,Microsoft SQL Server,
26848,MySQL,
26848,PostgreSQL,
26879,Cassandra,DynamoDB
26879,,Elasticsearch
26879,,MongoDB
26879,,MySQL
26879,DynamoDB,
26879,Elasticsearch,
26879,MariaDB,
26879,MySQL,
26879,Oracle,
26905,Elasticsearch,Elasticsearch
26905,,MongoDB
26915,Elasticsearch,Elasticsearch
26915,,MongoDB
26915,,PostgreSQL
26915,,Redis
26915,MongoDB,
26915,PostgreSQL,
26915,Redis,
26918,Cassandra,Oracle
26918,,SQLite
26918,Elasticsearch,
26918,MongoDB,
26924,MongoDB,MongoDB
26924,,PostgreSQL
26924,PostgreSQL,
26924,Redis,
26942,Microsoft SQL Server,Microsoft SQL Server
26966,DynamoDB,Firebase
26966,,Microsoft SQL Server
26966,,MySQL
26966,,Redis
26983,Cassandra,Couchbase
26983,,Elasticsearch
26983,,MongoDB
26983,,MySQL
26983,,Oracle
26983,,PostgreSQL
26983,,Redis
26983,Elasticsearch,
26983,PostgreSQL,
26998,Couchbase,Couchbase
26998,,MongoDB
26998,,PostgreSQL
26998,MongoDB,
26998,PostgreSQL,
26998,Redis,
27029,Cassandra,Firebase
27029,,Microsoft SQL Server
27029,,MongoDB
27029,,MySQL
27029,,Oracle
27029,,SQLite
27029,Elasticsearch,
27029,Firebase,
27029,MongoDB,
27029,MySQL,
27029,Redis,
27029,SQLite,
27044,Elasticsearch,Elasticsearch
27044,,MariaDB
27044,,MongoDB
27044,,MySQL
27044,,Redis
27044,MongoDB,
27044,PostgreSQL,
27068,DynamoDB,MongoDB
27068,,MySQL
27068,,PostgreSQL
27068,,SQLite
27068,Elasticsearch,
27068,Firebase,
27068,MongoDB,
27068,MySQL,
27068,PostgreSQL,
27068,Redis,
27068,SQLite,
27083,DynamoDB,DynamoDB
27083,PostgreSQL,
27085,MariaDB,MariaDB
27085,,PostgreSQL
27085,PostgreSQL,
27099,Cassandra,Elasticsearch
27099,,Firebase
27099,,MongoDB
27099,,MySQL
27099,,PostgreSQL
27099,,Redis
27099,Elasticsearch,
27099,Firebase,
27099,MongoDB,
27099,MySQL,
27099,PostgreSQL,
27099,Redis,
27103,Firebase,Firebase
27103,,MySQL
27103,,SQLite
27103,MongoDB,
27103,MySQL,
27103,Oracle,
27148,Microsoft SQL Server,Microsoft SQL Server
27148,,MySQL
27148,MySQL,
27150,MariaDB,MariaDB
27150,,Microsoft SQL Server
27150,,MySQL
27150,,SQLite
27150,Microsoft SQL Server,
27150,PostgreSQL,
27150,SQLite,
27158,DynamoDB,DynamoDB
27158,,Elasticsearch
27158,,MariaDB
27158,,MySQL
27158,,Redis
27158,Elasticsearch,
27158,Firebase,
27158,MariaDB,
27158,MySQL,
27158,Redis,
27182,MySQL,MongoDB
27182,,MySQL
27182,PostgreSQL,
27182,Redis,
27189,PostgreSQL,MongoDB
27189,,PostgreSQL
27189,,Redis
27189,Redis,
27195,PostgreSQL,PostgreSQL
27195,,SQLite
27195,SQLite,
27213,Cassandra,Microsoft SQL Server
27213,,MySQL
27213,,Oracle
27213,,PostgreSQL
27213,,Redis
27213,MongoDB,
27213,PostgreSQL,
27213,Redis,
27240,Cassandra,Elasticsearch
27240,,PostgreSQL
27240,DynamoDB,
27256,PostgreSQL,MySQL
27256,,Oracle
27256,,PostgreSQL
27256,,Redis
27256,,SQLite
27256,SQLite,
27271,MariaDB,MariaDB
27271,,Microsoft SQL Server
27271,,MongoDB
27271,,MySQL
27271,,SQLite
27271,Microsoft SQL Server,
27271,MySQL,
27271,SQLite,
27278,Elasticsearch,MySQL
27278,MySQL,
27278,PostgreSQL,
27295,Redis,MongoDB
27300,Elasticsearch,Microsoft SQL Server
27300,,PostgreSQL
27300,,SQLite
27300,PostgreSQL,
27300,Redis,
27304,Microsoft SQL Server,Microsoft SQL Server
27304,,PostgreSQL
27318,Elasticsearch,Microsoft SQL Server
27318,,MySQL
27318,MongoDB,
27318,Oracle,
27318,PostgreSQL,
27318,Redis,
27327,MariaDB,MariaDB
27327,,MySQL
27327,,SQLite
27327,SQLite,
27350,Microsoft SQL Server,Microsoft SQL Server
27350,,PostgreSQL
27350,,Redis
27350,,SQLite
27350,Redis,
27353,Cassandra,Couchbase
27353,,Firebase
27353,,MariaDB
27353,,Microsoft SQL Server
27353,,MongoDB
27353,,MySQL
27353,,PostgreSQL
27353,,Redis
27353,,SQLite
27353,DynamoDB,
27353,Elasticsearch,
27353,Firebase,
27353,MariaDB,
27353,Microsoft SQL Server,
27353,MongoDB,
27353,MySQL,
27353,Oracle,
27353,PostgreSQL,
27353,Redis,
27353,SQLite,
27369,Microsoft SQL Server,IBM DB2
27369,,Microsoft SQL Server
27369,,MySQL
27369,MySQL,
27400,MySQL,MySQL
27400,,Oracle
27410,Firebase,MariaDB
27410,,Microsoft SQL Server
27410,,MySQL
27410,MySQL,
27411,Elasticsearch,Elasticsearch
27411,,MongoDB
27411,,MySQL
27411,,PostgreSQL
27411,,Redis
27411,,SQLite
27411,MongoDB,
27411,PostgreSQL,
27411,Redis,
27427,Microsoft SQL Server,Microsoft SQL Server
27496,Elasticsearch,Microsoft SQL Server
27496,,MongoDB
27496,,Redis
27496,Microsoft SQL Server,
27496,MongoDB,
27496,Redis,
27496,SQLite,
27538,Elasticsearch,MySQL
27538,,Redis
27538,MySQL,
27538,Redis,
27558,DynamoDB,Microsoft SQL Server
27558,,MySQL
27558,,Oracle
27558,,SQLite
27558,Microsoft SQL Server,
27558,MySQL,
27558,Oracle,
27558,SQLite,
27577,Microsoft SQL Server,Microsoft SQL Server
27577,,MongoDB
27577,,MySQL
27577,,Oracle
27577,,SQLite
27577,MongoDB,
27580,Elasticsearch,Microsoft SQL Server
27580,,PostgreSQL
27580,Microsoft SQL Server,
27580,MongoDB,
27580,PostgreSQL,
27580,Redis,
27590,Elasticsearch,Elasticsearch
27590,,MongoDB
27590,,MySQL
27590,,Redis
27590,MongoDB,
27590,MySQL,
27590,Redis,
27595,MongoDB,Microsoft SQL Server
27595,,MongoDB
27595,,Redis
27595,Redis,
27598,Microsoft SQL Server,Firebase
27598,,MariaDB
27598,,Microsoft SQL Server
27598,,MongoDB
27598,,MySQL
27598,MySQL,
27629,Cassandra,Elasticsearch
27629,,MySQL
27629,,Redis
27629,DynamoDB,
27629,Elasticsearch,
27648,Cassandra,Cassandra
27648,,Elasticsearch
27648,,MariaDB
27648,,Microsoft SQL Server
27648,,MongoDB
27648,,MySQL
27648,,PostgreSQL
27648,,Redis
27648,,SQLite
27648,Elasticsearch,
27648,MariaDB,
27648,MongoDB,
27648,MySQL,
27648,PostgreSQL,
27648,Redis,
27648,SQLite,
27678,Microsoft SQL Server,Microsoft SQL Server
27678,,SQLite
27678,SQLite,
27679,Firebase,Elasticsearch
27679,,Firebase
27679,,IBM DB2
27679,,Microsoft SQL Server
27679,,MySQL
27679,,Oracle
27679,,SQLite
27679,IBM DB2,
27679,Microsoft SQL Server,
27679,Oracle,
27679,SQLite,
27691,Microsoft SQL Server,Microsoft SQL Server
27691,,MongoDB
27691,,PostgreSQL
27691,PostgreSQL,
27709,Microsoft SQL Server,Microsoft SQL Server
27709,,MongoDB
27709,,MySQL
27720,Microsoft SQL Server,Microsoft SQL Server
27725,SQLite,MariaDB
27725,,MySQL
27725,,PostgreSQL
27725,,SQLite
27742,DynamoDB,DynamoDB
27742,,Firebase
27742,,MariaDB
27742,,Microsoft SQL Server
27742,,MongoDB
27742,,MySQL
27742,,Oracle
27742,,PostgreSQL
27742,,SQLite
27742,Elasticsearch,
27742,Firebase,
27742,MariaDB,
