,Respondent,PlatformDesireNextYear,PlatformWorkedWith
1599,593,Microsoft Azure,Microsoft Azure
1600,593,,Windows
1601,593,Windows,
1603,595,AWS,AWS
1604,595,,Linux
1605,595,,Slack Apps and Integrations
1606,595,Linux,
1609,624,Android,Android
1610,641,Android,Android
1611,641,iOS,
1612,678,AWS,AWS
1613,678,,Docker
1614,678,,Kubernetes
1615,678,,Linux
1616,678,,Windows
1617,678,Docker,
1622,678,Kubernetes,
1627,678,Linux,
1632,687,Arduino,AWS
1633,687,,Arduino
1634,687,,Linux
1635,687,,MacOS
1636,687,,Raspberry Pi
1637,687,,Slack Apps and Integrations
1638,687,AWS,
1644,687,Docker,
1650,687,Google Cloud Platform,
1656,687,Heroku,
1662,687,Kubernetes,
1668,687,Linux,
1674,687,MacOS,
1680,687,Microsoft Azure,
1686,687,Raspberry Pi,
1692,696,Arduino,Android
1693,696,,Google Cloud Platform
1694,696,,Windows
1695,696,Microsoft Azure,
1698,697,Linux,Linux
1699,710,Docker,Docker
1700,710,,Google Cloud Platform
1701,710,,Kubernetes
1702,710,,Linux
1703,710,,Microsoft Azure
1704,710,Google Cloud Platform,
1709,710,Kubernetes,
1714,710,Linux,
1719,713,AWS,Google Cloud Platform
1720,713,,Linux
1721,713,,Microsoft Azure
1722,713,,Windows
1723,713,Docker,
1727,713,Google Cloud Platform,
1731,713,Heroku,
1735,713,Kubernetes,
1739,713,Linux,
1743,713,MacOS,
1747,713,Microsoft Azure,
1751,713,Windows,
1755,718,Android,Arduino
1756,718,,Docker
1757,718,,Linux
1758,718,,MacOS
1759,718,,Raspberry Pi
1760,718,,iOS
1761,718,Arduino,
1767,718,AWS,
1773,718,Docker,
1779,718,iOS,
1785,718,Linux,
1791,718,MacOS,
1797,718,Raspberry Pi,
1803,726,Windows,Windows
1804,750,AWS,Microsoft Azure
1805,750,,Windows
1806,750,Google Cloud Platform,
1808,750,Microsoft Azure,
1810,750,Windows,
1812,759,Microsoft Azure,Raspberry Pi
1813,759,,Windows
1814,759,Raspberry Pi,
1816,759,Windows,
1818,761,AWS,AWS
1819,761,,Linux
1820,761,,Raspberry Pi
1821,761,,Windows
1822,761,Linux,
1826,761,Windows,
1830,779,AWS,AWS
1831,779,,Docker
1832,779,,Microsoft Azure
1833,779,,Windows
1834,779,,iOS
1835,779,iOS,
1840,779,Raspberry Pi,
1845,779,Windows,
1850,815,AWS,AWS
1851,815,,Linux
1852,815,,MacOS
1853,815,,Windows
1854,815,Linux,
1858,816,AWS,AWS
1859,823,Android,Android
1860,823,,Windows
1861,823,,iOS
1862,823,iOS,
1865,823,Windows,
1868,827,AWS,Docker
1869,827,,Microsoft Azure
1870,827,Docker,
1872,827,iOS,
1874,827,MacOS,
1876,827,Microsoft Azure,
1878,837,AWS,AWS
1879,837,,Docker
1880,837,,Linux
1881,837,,Raspberry Pi
1882,837,Docker,
1886,837,Linux,
1890,841,Android,Android
1891,841,,Google Cloud Platform
1892,841,,MacOS
1893,841,,Windows
1894,841,,iOS
1895,841,iOS,
1900,841,MacOS,
1905,842,Docker,Docker
1906,842,,Microsoft Azure
1907,842,Microsoft Azure,
1909,858,AWS,Microsoft Azure
1910,858,,Windows
1911,858,Microsoft Azure,
1913,878,AWS,AWS
1914,878,,Kubernetes
1915,878,,Microsoft Azure
1916,878,,Raspberry Pi
1917,878,Kubernetes,
1921,878,Microsoft Azure,
1925,878,Raspberry Pi,
1929,887,AWS,AWS
1930,887,,Docker
1931,887,,Heroku
1932,887,,Linux
1933,887,,MacOS
1934,887,Docker,
1939,887,Kubernetes,
1944,887,Linux,
