,Respondent,PlatformDesireNextYear,PlatformWorkedWith
39664,19617,,MacOS
39665,19617,Docker,
39668,19617,Google Cloud Platform,
39671,19617,MacOS,
39674,19640,Docker,Docker
39675,19640,,Kubernetes
39676,19640,,Linux
39677,19640,,MacOS
39678,19640,,Slack Apps and Integrations
39679,19640,Kubernetes,
39684,19640,Linux,
39689,19640,Slack Apps and Integrations,
39694,19646,AWS,Kubernetes
39695,19646,,Windows
39696,19646,Kubernetes,
39698,19646,Linux,
39700,19646,Microsoft Azure,
39702,19647,Android,AWS
39703,19647,,Android
39704,19647,,Windows
39705,19647,Arduino,
39708,19647,Google Cloud Platform,
39711,19647,Linux,
39714,19647,Windows,
39717,19655,AWS,AWS
39718,19655,,Docker
39719,19655,,Linux
39720,19655,,MacOS
39721,19655,,Windows
39722,19655,MacOS,
39727,19689,Docker,Docker
39728,19689,,Microsoft Azure
39729,19689,,Windows
39730,19689,Kubernetes,
39733,19689,Linux,
39736,19689,Microsoft Azure,
39739,19689,Windows,
39742,19690,AWS,AWS
39743,19690,,Windows
39744,19690,Docker,
39746,19690,Kubernetes,
39748,19690,Linux,
39750,19708,Docker,Docker
39751,19708,,Heroku
39752,19708,,Linux
39753,19708,,MacOS
39754,19708,,WordPress
39755,19708,Google Cloud Platform,
39760,19708,Heroku,
39765,19708,Kubernetes,
39770,19708,Linux,
39775,19708,MacOS,
39780,19719,AWS,AWS
39781,19719,Docker,
39782,19719,Google Cloud Platform,
39783,19719,Heroku,
39784,19719,Kubernetes,
39785,19726,AWS,Docker
39786,19726,,Heroku
39787,19726,,Windows
39788,19726,,WordPress
39789,19726,Google Cloud Platform,
39793,19726,Linux,
39797,19744,Android,AWS
39798,19744,,Docker
39799,19744,,Slack Apps and Integrations
39800,19744,AWS,
39803,19744,Docker,
39806,19744,Slack Apps and Integrations,
39809,19747,Android,AWS
39810,19747,,Linux
39811,19747,,iOS
39812,19747,AWS,
39815,19747,Google Cloud Platform,
39818,19747,iOS,
39821,19747,Linux,
39824,19765,AWS,AWS
39825,19765,,Docker
39826,19765,,Windows
39827,19765,Docker,
39830,19765,Linux,
39833,19765,Windows,
39836,19771,AWS,AWS
39837,19771,,Android
39838,19771,,Microsoft Azure
39839,19771,,iOS
39840,19771,Linux,
39844,19778,AWS,AWS
39845,19778,,Docker
39846,19778,,Google Cloud Platform
39847,19778,,Linux
39848,19778,Docker,
39852,19778,Google Cloud Platform,
39856,19778,Linux,
39860,19783,AWS,AWS
39861,19783,,Docker
39862,19783,,Google Cloud Platform
39863,19783,,IBM Cloud or Watson
39864,19783,,Linux
39865,19783,,MacOS
39866,19783,,Windows
39867,19783,Google Cloud Platform,
39874,19783,Linux,
39881,19789,Docker,Docker
39882,19789,,Linux
39883,19789,,Raspberry Pi
39884,19789,Kubernetes,
39887,19789,Linux,
39890,19793,Docker,AWS
39891,19793,,Docker
39892,19793,,IBM Cloud or Watson
39893,19793,,Kubernetes
39894,19793,,Microsoft Azure
39895,19793,Kubernetes,
39900,19793,Microsoft Azure,
39905,19826,Android,AWS
39906,19826,,Docker
39907,19826,,Linux
39908,19826,,Microsoft Azure
39909,19826,,Raspberry Pi
39910,19826,AWS,
39915,19826,Docker,
39920,19826,Linux,
39925,19826,Raspberry Pi,
39930,19843,Docker,Microsoft Azure
39931,19843,Google Cloud Platform,
39932,19843,Slack Apps and Integrations,
39933,19848,Docker,Android
39934,19848,,Docker
39935,19848,,Google Cloud Platform
39936,19848,,Linux
39937,19848,Google Cloud Platform,
39941,19848,Kubernetes,
39945,19848,Linux,
39949,19848,MacOS,
39953,19858,Android,Android
39954,19858,,Microsoft Azure
39955,19858,,Raspberry Pi
39956,19858,,Windows
39957,19858,,iOS
39958,19858,iOS,
39963,19858,Microsoft Azure,
39968,19858,Raspberry Pi,
39973,19858,Windows,
39978,19872,Docker,Docker
39979,19872,,MacOS
39980,19872,,Raspberry Pi
39981,19872,,iOS
39982,19872,iOS,
39986,19872,MacOS,
39990,19872,Raspberry Pi,
39994,19889,AWS,Android
39995,19889,,Arduino
39996,19889,,Docker
39997,19889,,Google Cloud Platform
39998,19889,,Heroku
39999,19889,,Raspberry Pi
40000,19889,Docker,
40006,19889,Google Cloud Platform,
40012,19889,Heroku,
40018,19889,Linux,
40024,19895,Android,Android
40025,19895,,Linux
40026,19895,,MacOS
40027,19895,,Windows
40028,19895,Arduino,
40032,19895,AWS,
40036,19895,Docker,
40040,19895,Kubernetes,
40044,19895,Linux,
40048,19895,MacOS,
40052,19895,Microsoft Azure,
40056,19895,Raspberry Pi,
40060,19895,Windows,
40064,19895,WordPress,
40068,19901,AWS,AWS
40069,19901,,Docker
40070,19901,,Linux
40071,19901,,MacOS
40072,19901,,Microsoft Azure
40073,19901,,Slack Apps and Integrations
40074,19901,Docker,
40080,19901,Kubernetes,
40086,19901,Linux,
40092,19901,MacOS,
40098,19901,Slack Apps and Integrations,
40104,19903,Arduino,AWS
40105,19903,,Arduino
40106,19903,,Docker
40107,19903,,Kubernetes
40108,19903,,Linux
40109,19903,,MacOS
40110,19903,,Raspberry Pi
40111,19903,,Slack Apps and Integrations
40112,19903,,Windows
40113,19903,,WordPress
40114,19903,AWS,
40124,19903,Docker,
40134,19903,Linux,
40144,19903,MacOS,
40154,19903,Raspberry Pi,
40164,19903,Slack Apps and Integrations,
40174,19925,Docker,Docker
40175,19925,,Linux
40176,19925,,Windows
40177,19925,Linux,
40180,19925,Windows,
40183,19939,AWS,AWS
40184,19939,,Docker
40185,19939,,Linux
40186,19939,,Slack Apps and Integrations
40187,19939,Docker,
40191,19939,Heroku,
40195,19939,Linux,
40199,19939,Slack Apps and Integrations,
40203,19941,AWS,Docker
40204,19941,,Linux
40205,19941,,MacOS
40206,19941,Docker,
40209,19941,Linux,
40212,19941,MacOS,
40215,19944,Docker,Docker
40216,19944,,Microsoft Azure
40217,19944,,Windows
40218,19944,Microsoft Azure,
40221,19944,Windows,
40224,19954,Docker,Linux
40225,19954,,Microsoft Azure
40226,19954,,Windows
40227,19954,Google Cloud Platform,
40230,19954,Kubernetes,
40233,19954,Microsoft Azure,
40236,19965,Android,Android
40237,19965,,Arduino
40238,19965,,Docker
40239,19965,,Linux
40240,19965,,Windows
40241,19965,Docker,
40246,19965,Kubernetes,
40251,19965,Linux,
40256,19995,AWS,Google Cloud Platform
40257,19995,Docker,
40258,19995,Google Cloud Platform,
40259,19995,Linux,
40260,19995,Microsoft Azure,
40261,19995,Raspberry Pi,
40262,19995,Windows,
40263,20029,Arduino,Google Cloud Platform
40264,20029,,Linux
40265,20029,,Raspberry Pi
40266,20029,,Windows
40267,20029,Docker,
40271,20029,Google Cloud Platform,
40275,20029,Linux,
40279,20029,Raspberry Pi,
40283,20064,AWS,AWS
40284,20064,,Docker
40285,20064,,Google Cloud Platform
40286,20064,,Linux
40287,20064,,MacOS
40288,20064,,Microsoft Azure
40289,20064,,Raspberry Pi
40290,20064,,Slack Apps and Integrations
40291,20064,Docker,
40299,20064,Kubernetes,
40307,20064,Linux,
40315,20064,MacOS,
40323,20064,Slack Apps and Integrations,
40331,20069,AWS,AWS
40332,20069,,Android
40333,20069,,Docker
40334,20069,,Linux
40335,20069,,MacOS
40336,20069,,Slack Apps and Integrations
40337,20069,,Windows
40338,20069,Docker,
40345,20069,Kubernetes,
40352,20069,Linux,
40359,20069,MacOS,
40366,20069,Microsoft Azure,
40373,20069,Slack Apps and Integrations,
40380,20069,Windows,
40387,20081,AWS,Docker
40388,20081,,MacOS
40389,20081,Docker,
40391,20081,Slack Apps and Integrations,
40393,20083,Docker,AWS
40394,20083,,Docker
40395,20083,,Linux
40396,20083,,MacOS
40397,20083,,Windows
40398,20083,Kubernetes,
40403,20083,Linux,
40408,20083,Microsoft Azure,
40413,20083,Raspberry Pi,
40418,20086,Android,AWS
40419,20086,,Slack Apps and Integrations
40420,20086,AWS,
40422,20086,Docker,
40424,20086,IBM Cloud or Watson,
40426,20086,iOS,
40428,20086,Kubernetes,
40430,20086,Slack Apps and Integrations,
40432,20111,AWS,Windows
40433,20111,Google Cloud Platform,
40434,20111,Microsoft Azure,
40435,20121,Docker,Docker
40436,20121,,Linux
40437,20121,,Raspberry Pi
40438,20121,,Windows
40439,20121,Kubernetes,
40443,20121,Linux,
40447,20121,Microsoft Azure,
40451,20121,Raspberry Pi,
40455,20121,Windows,
40459,20124,AWS,AWS
40460,20124,,Android
40461,20124,,Docker
40462,20124,,Kubernetes
40463,20124,,Linux
40464,20124,,MacOS
40465,20124,,iOS
40466,20124,Docker,
40473,20124,Kubernetes,
40480,20124,Linux,
40487,20124,Microsoft Azure,
40494,20148,AWS,AWS
40495,20148,,Docker
40496,20148,,Kubernetes
40497,20148,,Linux
40498,20148,,MacOS
40499,20148,Docker,
40504,20148,Kubernetes,
40509,20148,Linux,
40514,20148,MacOS,
40519,20157,Android,AWS
40520,20157,,Linux
40521,20157,,Slack Apps and Integrations
40522,20157,,Windows
40523,20157,AWS,
40527,20157,Docker,
40531,20157,Google Cloud Platform,
40535,20157,Linux,
40539,20157,Raspberry Pi,
40543,20157,Slack Apps and Integrations,
40547,20157,Windows,
40551,20163,Android,Docker
40552,20163,,Linux
40553,20163,Docker,
40555,20163,iOS,
40557,20163,Linux,
40559,20167,Android,AWS
40560,20167,,Android
40561,20167,,Docker
40562,20167,,Heroku
40563,20167,,Kubernetes
40564,20167,,Linux
40565,20167,,MacOS
40566,20167,,Microsoft Azure
40567,20167,,Windows
40568,20167,,iOS
40569,20167,Arduino,
40579,20167,AWS,
40589,20167,Docker,
40599,20167,Google Cloud Platform,
40609,20167,Heroku,
40619,20167,IBM Cloud or Watson,
40629,20167,iOS,
40639,20167,Kubernetes,
40649,20167,Linux,
40659,20167,MacOS,
40669,20167,Microsoft Azure,
40679,20167,Raspberry Pi,
40689,20167,Slack Apps and Integrations,
40699,20167,Windows,
40709,20173,AWS,AWS
40710,20173,,Google Cloud Platform
40711,20173,,Linux
40712,20173,,Windows
40713,20173,Docker,
40717,20173,Kubernetes,
40721,20173,Linux,
40725,20173,Microsoft Azure,
40729,20173,Slack Apps and Integrations,
40733,20177,Docker,Docker
40734,20177,,WordPress
40735,20177,WordPress,
40737,20187,Docker,Docker
40738,20187,,Microsoft Azure
40739,20187,,Raspberry Pi
40740,20187,,Windows
40741,20187,,WordPress
40742,20187,Microsoft Azure,
40747,20187,Raspberry Pi,
40752,20187,Windows,
40757,20187,WordPress,
40762,20216,Microsoft Azure,Android
40763,20216,,Microsoft Azure
40764,20216,,Windows
40765,20220,AWS,AWS
40766,20220,,Android
40767,20220,,Docker
40768,20220,,Linux
40769,20220,,Microsoft Azure
40770,20220,,Raspberry Pi
40771,20220,,Slack Apps and Integrations
40772,20220,,Windows
40773,20220,Docker,
40781,20220,Linux,
40789,20220,Raspberry Pi,
40797,20223,AWS,AWS
40798,20223,,Linux
40799,20223,,WordPress
40800,20223,Linux,
40803,20227,AWS,AWS
40804,20227,,Docker
40805,20227,,Linux
40806,20227,,Raspberry Pi
40807,20227,,Slack Apps and Integrations
40808,20227,,WordPress
40809,20227,Docker,
40815,20227,Linux,
40821,20227,Raspberry Pi,
40827,20227,Slack Apps and Integrations,
40833,20282,AWS,Linux
40834,20282,,Windows
40835,20282,Linux,
40837,20282,Windows,
40839,20284,AWS,AWS
40840,20284,,Docker
40841,20284,,Kubernetes
40842,20284,,Linux
40843,20284,,MacOS
40844,20284,,Slack Apps and Integrations
40845,20284,Docker,
40851,20284,Linux,
40857,20284,MacOS,
40863,20297,Docker,Docker
40864,20297,,Microsoft Azure
40865,20297,,Windows
40866,20297,Microsoft Azure,
40869,20297,Windows,
40872,20330,Android,AWS
40873,20330,,Android
40874,20330,,Docker
40875,20330,,WordPress
40876,20330,,iOS
40877,20330,AWS,
40882,20330,Docker,
40887,20330,iOS,
40892,20396,Docker,AWS
40893,20396,,Docker
40894,20396,,Google Cloud Platform
40895,20396,,Kubernetes
40896,20396,,Linux
40897,20396,,MacOS
40898,20396,,Windows
40899,20396,Google Cloud Platform,
40906,20396,Linux,
40913,20407,Android,AWS
40914,20407,,Linux
40915,20407,,Windows
40916,20407,,WordPress
40917,20407,AWS,
40921,20414,Android,Docker
40922,20414,,IBM Cloud or Watson
40923,20414,,Linux
40924,20414,,Raspberry Pi
40925,20414,,Windows
40926,20414,AWS,
40931,20414,Docker,
40936,20414,Kubernetes,
40941,20414,Linux,
40946,20414,Raspberry Pi,
40951,20414,Windows,
40956,20446,Docker,Docker
40957,20446,,Kubernetes
40958,20446,,Linux
40959,20446,,Microsoft Azure
40960,20446,Kubernetes,
40964,20446,Linux,
40968,20486,Android,Linux
40969,20486,,MacOS
40970,20486,,Windows
40971,20486,Arduino,
40974,20486,AWS,
40977,20486,Docker,
40980,20486,Kubernetes,
40983,20486,MacOS,
40986,20486,Raspberry Pi,
40989,20515,Docker,AWS
40990,20515,,Arduino
40991,20515,,Linux
40992,20515,,Raspberry Pi
40993,20515,,WordPress
40994,20515,Kubernetes,
40999,20515,MacOS,
41004,20525,iOS,iOS
41005,20530,Docker,AWS
41006,20530,,Android
41007,20530,,Google Cloud Platform
41008,20530,,Linux
41009,20530,,Microsoft Azure
41010,20530,Kubernetes,
41015,20551,AWS,AWS
41016,20551,,Arduino
41017,20551,,Linux
41018,20551,,Microsoft Azure
41019,20551,,Raspberry Pi
41020,20551,,Windows
41021,20551,Linux,
41027,20551,Microsoft Azure,
41033,20551,Raspberry Pi,
41039,20565,AWS,AWS
41040,20565,,Docker
41041,20565,,Kubernetes
41042,20565,,Linux
41043,20565,,MacOS
41044,20565,,Raspberry Pi
41045,20565,Docker,
41051,20565,Kubernetes,
41057,20565,Linux,
41063,20565,MacOS,
41069,20565,Raspberry Pi,
41075,20587,Android,Docker
41076,20587,,Microsoft Azure
41077,20587,,Windows
41078,20587,Docker,
41081,20587,Kubernetes,
41084,20587,Microsoft Azure,
41087,20587,Raspberry Pi,
41090,20587,Slack Apps and Integrations,
41093,20587,Windows,
41096,20616,Android,AWS
41097,20616,,Android
41098,20616,,Docker
41099,20616,,Google Cloud Platform
41100,20616,,MacOS
41101,20616,,Windows
41102,20616,,WordPress
41103,20616,,iOS
41104,20616,AWS,
41112,20616,Docker,
41120,20616,Google Cloud Platform,
41128,20616,iOS,
41136,20616,MacOS,
41144,20616,Windows,
41152,20616,WordPress,
41160,20644,Arduino,AWS
41161,20644,,Docker
41162,20644,,Heroku
41163,20644,,Linux
41164,20644,,MacOS
41165,20644,,Raspberry Pi
41166,20644,,Windows
41167,20644,AWS,
41174,20644,Docker,
41181,20644,Linux,
41188,20644,MacOS,
41195,20644,Raspberry Pi,
41202,20644,Windows,
41209,20646,AWS,AWS
41210,20646,,Docker
41211,20646,,Google Cloud Platform
41212,20646,,Heroku
41213,20646,,Kubernetes
41214,20646,,Linux
41215,20646,,MacOS
41216,20646,,Microsoft Azure
41217,20646,,Raspberry Pi
41218,20646,,Slack Apps and Integrations
41219,20646,,Windows
41220,20646,Docker,
41231,20646,Google Cloud Platform,
41242,20646,Heroku,
41253,20646,Kubernetes,
41264,20646,Linux,
41275,20646,MacOS,
41286,20646,Raspberry Pi,
41297,20659,Android,AWS
41298,20659,,Google Cloud Platform
41299,20659,,Linux
41300,20659,,Microsoft Azure
41301,20659,,Raspberry Pi
41302,20659,,Windows
41303,20675,Android,Android
41304,20675,,Docker
41305,20675,,Linux
41306,20675,,Microsoft Azure
41307,20675,,Raspberry Pi
41308,20675,,Windows
41309,20675,Docker,
41315,20675,Linux,
41321,20675,Microsoft Azure,
41327,20675,Raspberry Pi,
41333,20675,Windows,
41339,20699,Android,AWS
41340,20699,,Android
41341,20699,,Arduino
41342,20699,,Docker
41343,20699,,Google Cloud Platform
41344,20699,,Heroku
41345,20699,,Linux
41346,20699,,MacOS
41347,20699,,Raspberry Pi
41348,20699,,Slack Apps and Integrations
41349,20699,,Windows
41350,20699,Arduino,
41361,20699,AWS,
41372,20699,Docker,
41383,20699,Google Cloud Platform,
41394,20699,Linux,
41405,20699,MacOS,
41416,20699,Raspberry Pi,
41427,20712,Docker,Android
41428,20712,,Arduino
41429,20712,,Docker
41430,20712,,Google Cloud Platform
41431,20712,,Kubernetes
41432,20712,,Linux
41433,20712,,MacOS
41434,20712,,Raspberry Pi
41435,20712,,Slack Apps and Integrations
41436,20712,,iOS
41437,20712,Google Cloud Platform,
41447,20712,Kubernetes,
41457,20712,Linux,
41467,20712,MacOS,
41477,20712,Slack Apps and Integrations,
41487,20716,Microsoft Azure,Android
41488,20716,,Microsoft Azure
41489,20716,,Slack Apps and Integrations
41490,20722,Raspberry Pi,Raspberry Pi
41491,20722,,Windows
41492,20722,Windows,
41494,20742,AWS,Android
41495,20742,,Docker
41496,20742,,Linux
41497,20742,,MacOS
41498,20742,,Raspberry Pi
41499,20742,,Windows
41500,20742,,WordPress
41501,20742,Docker,
41508,20742,Linux,
41515,20742,MacOS,
41522,20742,Raspberry Pi,
41529,20742,Windows,
41536,20742,WordPress,
41543,20755,Google Cloud Platform,Microsoft Azure
41544,20755,,Raspberry Pi
41545,20755,,Windows
41546,20755,Kubernetes,
41549,20755,Linux,
41552,20755,Microsoft Azure,
41555,20755,Raspberry Pi,
41558,20767,Android,AWS
41559,20767,,Android
41560,20767,,Arduino
41561,20767,,Docker
41562,20767,,Kubernetes
41563,20767,,Linux
41564,20767,,MacOS
41565,20767,,Raspberry Pi
41566,20767,,iOS
41567,20767,Arduino,
41576,20767,iOS,
41585,20767,Linux,
41594,20767,MacOS,
41603,20767,Raspberry Pi,
41612,20780,Android,AWS
41613,20780,,Android
41614,20780,,Docker
41615,20780,,Google Cloud Platform
41616,20780,,Heroku
41617,20780,,Linux
41618,20780,,Microsoft Azure
41619,20780,,Slack Apps and Integrations
41620,20780,,Windows
41621,20780,AWS,
41630,20780,Docker,
41639,20780,Google Cloud Platform,
41648,20780,iOS,
41657,20780,Kubernetes,
41666,20780,Linux,
41675,20780,Microsoft Azure,
41684,20780,Slack Apps and Integrations,
41693,20782,Docker,Microsoft Azure
41694,20782,,Windows
41695,20782,Kubernetes,
41697,20782,Linux,
41699,20789,Google Cloud Platform,AWS
41700,20789,,Google Cloud Platform
41701,20789,,Linux
41702,20789,Linux,
41705,20868,Docker,Docker
41706,20868,,Linux
41707,20868,Linux,
41709,20880,Android,Arduino
41710,20880,,Raspberry Pi
41711,20880,,Windows
41712,20880,Arduino,
41715,20880,Raspberry Pi,
41718,20880,Windows,
41721,20885,Docker,Docker
41722,20885,,Google Cloud Platform
41723,20885,,Kubernetes
41724,20885,,Linux
41725,20885,,WordPress
41726,20885,Google Cloud Platform,
41731,20885,Kubernetes,
41736,20885,Linux,
41741,20885,Raspberry Pi,
41746,20885,Slack Apps and Integrations,
41751,20885,WordPress,
41756,20896,Arduino,AWS
41757,20896,,Docker
41758,20896,,Windows
41759,20896,AWS,
41762,20896,Docker,
41765,20896,Linux,
41768,20896,Microsoft Azure,
41771,20896,Raspberry Pi,
41774,20896,Windows,
41777,20899,Docker,Docker
41778,20899,,Windows
41779,20899,Kubernetes,
41781,20899,Microsoft Azure,
41783,20899,Windows,
41785,20923,Android,Android
41786,20923,,Linux
41787,20923,AWS,
41789,20923,Docker,
41791,20923,Google Cloud Platform,
41793,20923,Linux,
41795,20923,Raspberry Pi,
41797,20933,Android,AWS
41798,20933,,Arduino
41799,20933,,Docker
41800,20933,,Google Cloud Platform
41801,20933,,Linux
41802,20933,Arduino,
41807,20933,AWS,
41812,20933,Google Cloud Platform,
41817,20933,Linux,
41822,20933,Raspberry Pi,
41827,20933,Slack Apps and Integrations,
41832,20933,Windows,
41837,20942,Docker,Microsoft Azure
41838,20942,,Windows
41839,20942,Kubernetes,
41841,20942,Linux,
41843,20942,Microsoft Azure,
41845,20942,Windows,
41847,20945,Arduino,Linux
41848,20945,,Windows
41849,20945,AWS,
41851,20945,Docker,
41853,20945,Google Cloud Platform,
41855,20945,Kubernetes,
41857,20945,Linux,
41859,20945,Windows,
41861,20952,AWS,Android
41862,20952,,iOS
41863,20952,Google Cloud Platform,
41865,20952,Linux,
41867,20960,Android,Android
41868,20960,,Docker
41869,20960,,Linux
41870,20960,,MacOS
41871,20960,,Microsoft Azure
41872,20960,,Raspberry Pi
41873,20960,,Windows
41874,20960,Arduino,
41881,20960,AWS,
41888,20960,Docker,
41895,20960,Linux,
41902,20960,MacOS,
41909,20960,Microsoft Azure,
41916,20960,Windows,
41923,20990,AWS,Android
41924,20990,,Linux
41925,20990,,iOS
41926,20990,iOS,
41929,20990,Linux,
41932,20990,MacOS,
41935,20990,Raspberry Pi,
41938,20992,Docker,Docker
41939,20992,,Linux
41940,20992,,MacOS
41941,20992,,WordPress
41942,20992,Linux,
41946,20992,MacOS,
41950,21002,Windows,Windows
41951,21008,Android,AWS
41952,21008,,Android
41953,21008,,Heroku
41954,21008,,Linux
41955,21008,,Windows
41956,21008,,WordPress
41957,21008,,iOS
41958,21008,AWS,
41965,21008,Docker,
41972,21008,Heroku,
41979,21008,iOS,
41986,21008,Kubernetes,
41993,21008,Linux,
42000,21008,MacOS,
42007,21008,Raspberry Pi,
42014,21008,Slack Apps and Integrations,
42021,21008,Windows,
42028,21008,WordPress,
42035,21010,Android,Android
42036,21010,,Docker
42037,21010,,Linux
42038,21010,,Windows
42039,21010,Arduino,
42043,21010,Linux,
42047,21010,Raspberry Pi,
42051,21010,Windows,
42055,21022,Linux,Microsoft Azure
42056,21022,,Windows
42057,21022,Microsoft Azure,
42059,21022,Windows,
42061,21031,Microsoft Azure,Microsoft Azure
42062,21031,,Windows
42063,21031,Windows,
42065,21042,Docker,Docker
42066,21042,,Kubernetes
42067,21042,,Linux
42068,21042,,MacOS
42069,21042,,Microsoft Azure
42070,21042,,Windows
42071,21042,Kubernetes,
42077,21042,Linux,
42083,21042,MacOS,
42089,21042,Microsoft Azure,
42095,21042,Windows,
42101,21043,AWS,AWS
42102,21043,,Docker
42103,21043,,Linux
42104,21043,Docker,
42107,21043,Google Cloud Platform,
42110,21043,Linux,
42113,21043,Microsoft Azure,
42116,21047,Android,Docker
42117,21047,,Google Cloud Platform
42118,21047,,Kubernetes
42119,21047,,Linux
42120,21047,,MacOS
42121,21047,AWS,
42126,21047,Docker,
42131,21047,Google Cloud Platform,
42136,21047,Heroku,
42141,21047,Kubernetes,
42146,21047,Linux,
42151,21047,MacOS,
42156,21047,Microsoft Azure,
42161,21064,AWS,AWS
42162,21064,,Docker
42163,21064,,Kubernetes
42164,21064,,Linux
42165,21064,,Microsoft Azure
42166,21064,,Windows
42167,21064,Docker,
42173,21064,Kubernetes,
42179,21064,Linux,
42185,21064,Microsoft Azure,
42191,21064,Windows,
42197,21079,Microsoft Azure,Android
42198,21079,,Google Cloud Platform
42199,21079,,Linux
42200,21079,,MacOS
42201,21079,,Microsoft Azure
42202,21079,,Windows
42203,21079,Windows,
42209,21083,Android,Docker
42210,21083,,Windows
42211,21083,Docker,
42213,21083,Linux,
42215,21085,Docker,Microsoft Azure
42216,21085,,Windows
42217,21085,Microsoft Azure,
42219,21085,Windows,
42221,21088,Android,Android
42222,21088,,Kubernetes
42223,21088,,Microsoft Azure
42224,21088,,iOS
42225,21088,Docker,
42229,21088,Google Cloud Platform,
42233,21088,iOS,
42237,21088,Microsoft Azure,
42241,21089,AWS,AWS
42242,21089,,Docker
42243,21089,,Kubernetes
42244,21089,,Linux
42245,21089,Docker,
42249,21089,Heroku,
42253,21089,Kubernetes,
42257,21089,Linux,
42261,21096,AWS,Docker
42262,21096,,Microsoft Azure
42263,21096,,Windows
42264,21096,Docker,
42267,21096,Microsoft Azure,
42270,21096,Windows,
42273,21097,Docker,Docker
42274,21097,,Linux
42275,21097,,Windows
42276,21097,Kubernetes,
42279,21097,Linux,
42282,21097,Microsoft Azure,
42285,21097,Windows,
42288,21135,Linux,Linux
42289,21135,,Windows
42290,21135,Raspberry Pi,
42292,21135,Windows,
42294,21140,Docker,Docker
42295,21140,,Kubernetes
42296,21140,,Linux
42297,21140,,Microsoft Azure
42298,21140,,Windows
42299,21140,Kubernetes,
42304,21140,Linux,
42309,21140,Microsoft Azure,
42314,21140,Windows,
42319,21164,AWS,AWS
42320,21164,,Kubernetes
42321,21164,,Linux
42322,21164,Docker,
42325,21164,Google Cloud Platform,
42328,21164,Kubernetes,
42331,21164,Linux,
42334,21164,Microsoft Azure,
42337,21164,Slack Apps and Integrations,
42340,21168,Microsoft Azure,Microsoft Azure
42341,21168,,Windows
42342,21168,Windows,
42344,21172,AWS,AWS
42345,21172,,Linux
42346,21172,,Windows
42347,21172,Linux,
42350,21172,Windows,
42353,21180,Android,AWS
42354,21180,,Android
42355,21180,,Docker
42356,21180,,Google Cloud Platform
42357,21180,,Heroku
42358,21180,,Linux
42359,21180,,MacOS
42360,21180,,Microsoft Azure
42361,21180,,WordPress
42362,21180,,iOS
42363,21180,AWS,
42373,21180,Docker,
42383,21180,iOS,
42393,21180,Linux,
42403,21180,MacOS,
42413,21185,AWS,AWS
42414,21185,,Docker
42415,21185,Docker,
42417,21186,Docker,Docker
42418,21186,,Microsoft Azure
42419,21186,Kubernetes,
42421,21186,Microsoft Azure,
42423,21188,Heroku,Heroku
42424,21188,,Linux
42425,21188,,MacOS
42426,21188,,Raspberry Pi
42427,21188,,Windows
42428,21188,,WordPress
42429,21188,MacOS,
42435,21188,Raspberry Pi,
42441,21188,Windows,
42447,21193,Docker,Docker
42448,21193,,Google Cloud Platform
42449,21193,,Linux
42450,21193,,Windows
42451,21193,,WordPress
42452,21193,Google Cloud Platform,
42457,21193,Linux,
42462,21193,Windows,
42467,21227,Docker,Docker
42468,21227,,Kubernetes
42469,21227,,Microsoft Azure
42470,21227,,Windows
42471,21227,Microsoft Azure,
42475,21227,Windows,
42479,21264,AWS,AWS
42480,21264,,Docker
42481,21264,,Linux
42482,21264,,Slack Apps and Integrations
42483,21264,,WordPress
42484,21264,Docker,
42489,21264,Google Cloud Platform,
42494,21264,Linux,
42499,21264,Microsoft Azure,
42504,21264,Slack Apps and Integrations,
42509,21264,WordPress,
42514,21270,Arduino,Arduino
42515,21270,,Docker
42516,21270,,Google Cloud Platform
42517,21270,,IBM Cloud or Watson
42518,21270,,Linux
42519,21270,,Microsoft Azure
42520,21270,,Raspberry Pi
42521,21270,,Slack Apps and Integrations
42522,21270,,Windows
42523,21270,,WordPress
42524,21270,Docker,
42534,21270,Linux,
42544,21270,Microsoft Azure,
42554,21270,Raspberry Pi,
42564,21270,Windows,
42574,21286,Android,Android
42575,21286,,Linux
42576,21286,,MacOS
42577,21286,,iOS
42578,21286,AWS,
42582,21286,iOS,
42586,21286,Linux,
42590,21286,MacOS,
42594,21293,Docker,AWS
42595,21293,,Docker
42596,21293,,Heroku
42597,21293,,Linux
42598,21293,,Microsoft Azure
42599,21293,,Windows
42600,21293,Linux,
42606,21293,Raspberry Pi,
42612,21293,Windows,
42618,21295,Android,AWS
42619,21295,,Docker
42620,21295,,Linux
42621,21295,,Raspberry Pi
42622,21295,,Windows
42623,21295,Arduino,
42628,21295,AWS,
42633,21295,Kubernetes,
42638,21309,Android,Android
42639,21309,,Docker
42640,21309,,Google Cloud Platform
42641,21309,,Slack Apps and Integrations
42642,21309,,iOS
42643,21309,Docker,
42648,21309,Google Cloud Platform,
42653,21309,iOS,
42658,21309,Slack Apps and Integrations,
42663,21313,Arduino,AWS
42664,21313,,Arduino
42665,21313,,Docker
42666,21313,AWS,
42669,21313,Docker,
42672,21318,AWS,AWS
42673,21318,,Android
42674,21318,,Arduino
42675,21318,,Docker
42676,21318,,Google Cloud Platform
42677,21318,,Heroku
42678,21318,,Kubernetes
42679,21318,,Linux
42680,21318,,Microsoft Azure
42681,21318,,Raspberry Pi
42682,21318,,Windows
42683,21318,Docker,
