,Respondent,NEWCollabToolsDesireNextYear,NEWCollabToolsWorkedWith
30631,18423,,Gitlab
30632,18423,,"Google Suite (Docs, Meet, etc)"
30633,18423,,Jira
30634,18423,,Microsoft Azure
30635,18423,,Microsoft Teams
30636,18423,,Slack
30637,18423,Jira,
30645,18423,Github,
30653,18423,Gitlab,
30661,18423,Slack,
30669,18423,"Google Suite (Docs, Meet, etc)",
30677,18440,Github,Confluence
30678,18440,,Github
30679,18440,,Jira
30680,18440,,Microsoft Azure
30681,18440,,Microsoft Teams
30682,18440,,Slack
30683,18440,,Stack Overflow for Teams
30684,18443,Confluence,Confluence
30685,18443,,Github
30686,18443,,"Google Suite (Docs, Meet, etc)"
30687,18443,,Jira
30688,18443,,Slack
30689,18443,Jira,
30694,18443,Github,
30699,18443,Slack,
30704,18443,"Google Suite (Docs, Meet, etc)",
30709,18454,Jira,Confluence
30710,18454,,Github
30711,18454,,"Google Suite (Docs, Meet, etc)"
30712,18454,,Jira
30713,18454,,Slack
30714,18454,Github,
30719,18454,Gitlab,
30724,18454,Slack,
30729,18454,"Google Suite (Docs, Meet, etc)",
30734,18454,Stack Overflow for Teams,
30739,18460,Microsoft Teams,Confluence
30740,18460,,Jira
30741,18460,,Microsoft Azure
30742,18460,,Microsoft Teams
30743,18460,,Slack
30744,18460,Microsoft Azure,
30749,18476,Gitlab,Confluence
30750,18476,,Github
30751,18476,,Gitlab
30752,18476,,"Google Suite (Docs, Meet, etc)"
30753,18476,,Jira
30754,18476,,Microsoft Azure
30755,18476,,Slack
30756,18476,,Trello
30757,18476,Slack,
30765,18482,Github,Github
30766,18482,,"Google Suite (Docs, Meet, etc)"
30767,18482,,Jira
30768,18482,,Microsoft Azure
30769,18482,,Slack
30770,18482,Microsoft Azure,
30775,18482,"Google Suite (Docs, Meet, etc)",
30780,18483,Github,Github
30781,18483,,Gitlab
30782,18483,Gitlab,
30784,18489,Github,Github
30785,18489,,"Google Suite (Docs, Meet, etc)"
30786,18489,,Microsoft Teams
30787,18489,,Trello
30788,18489,Microsoft Teams,
30792,18489,Trello,
30796,18489,"Google Suite (Docs, Meet, etc)",
30800,18499,Github,Github
30801,18499,Microsoft Teams,
30802,18499,Microsoft Azure,
30803,18504,Confluence,Confluence
30804,18504,,Github
30805,18504,,"Google Suite (Docs, Meet, etc)"
30806,18504,,Jira
30807,18504,,Slack
30808,18504,Jira,
30813,18504,Github,
30818,18512,Confluence,Github
30819,18512,,Gitlab
30820,18512,,Microsoft Teams
30821,18512,,Slack
30822,18512,Jira,
30826,18512,Github,
30830,18512,Gitlab,
30834,18512,Slack,
30838,18545,Github,Github
30839,18545,,Gitlab
30840,18545,,"Google Suite (Docs, Meet, etc)"
30841,18545,,Jira
30842,18545,,Slack
30843,18545,,Trello
30844,18545,Gitlab,
30850,18545,Slack,
30856,18545,"Google Suite (Docs, Meet, etc)",
30862,18551,Jira,Github
30863,18551,,Jira
30864,18551,,Microsoft Azure
30865,18551,,Microsoft Teams
30866,18551,Github,
30870,18551,Gitlab,
30874,18551,Microsoft Teams,
30878,18551,Microsoft Azure,
30882,18555,Confluence,Confluence
30883,18555,,Github
30884,18555,,Jira
30885,18555,,Microsoft Azure
30886,18555,,Microsoft Teams
30887,18555,,Slack
30888,18555,,Trello
30889,18555,Jira,
30896,18555,Github,
30903,18555,Gitlab,
30910,18555,Slack,
30917,18555,Microsoft Teams,
30924,18555,Microsoft Azure,
30931,18555,Trello,
30938,18563,Slack,Github
30939,18563,,Gitlab
30940,18563,,Jira
30941,18563,,Microsoft Teams
30942,18563,,Slack
30943,18563,,Trello
30944,18563,Trello,
30950,18563,Stack Overflow for Teams,
30956,18565,Github,Github
30957,18565,,"Google Suite (Docs, Meet, etc)"
30958,18565,,Jira
30959,18565,,Microsoft Azure
30960,18565,,Trello
30961,18565,Microsoft Azure,
30966,18568,Jira,Confluence
30967,18568,,Github
30968,18568,,Gitlab
30969,18568,,Jira
30970,18568,Gitlab,
30974,18587,Github,Github
30975,18587,,Gitlab
30976,18587,,"Google Suite (Docs, Meet, etc)"
30977,18587,,Jira
30978,18587,,Slack
30979,18587,,Trello
30980,18587,Slack,
30986,18587,Trello,
30992,18587,"Google Suite (Docs, Meet, etc)",
30998,18595,Confluence,Confluence
30999,18595,,Github
31000,18595,,Gitlab
31001,18595,,"Google Suite (Docs, Meet, etc)"
31002,18595,,Jira
31003,18595,,Slack
31004,18595,Jira,
31010,18595,Github,
31016,18595,Gitlab,
31022,18595,Slack,
31028,18595,"Google Suite (Docs, Meet, etc)",
31034,18602,Confluence,Confluence
31035,18602,,Github
31036,18602,,Jira
31037,18602,,Microsoft Teams
31038,18602,,Slack
31039,18602,Jira,
31044,18602,Github,
31049,18602,Slack,
31054,18602,Microsoft Teams,
31059,18602,Microsoft Azure,
31064,18602,Trello,
31069,18602,Stack Overflow for Teams,
31074,18604,Confluence,Confluence
31075,18604,,Gitlab
31076,18604,,Jira
31077,18604,,Microsoft Teams
31078,18604,Jira,
31082,18604,Gitlab,
31086,18606,Github,Confluence
31087,18606,,Github
31088,18606,,"Google Suite (Docs, Meet, etc)"
31089,18606,,Jira
31090,18606,,Microsoft Azure
31091,18606,,Microsoft Teams
31092,18606,,Slack
31093,18606,,Stack Overflow for Teams
31094,18606,,Trello
31095,18606,Slack,
31104,18606,Microsoft Teams,
31113,18606,Microsoft Azure,
31122,18614,Gitlab,Confluence
31123,18614,,Github
31124,18614,,Gitlab
31125,18614,,"Google Suite (Docs, Meet, etc)"
31126,18614,,Jira
31127,18614,,Slack
31128,18626,Github,Github
31129,18626,,Gitlab
31130,18626,,"Google Suite (Docs, Meet, etc)"
31131,18626,,Jira
31132,18626,,Trello
31133,18626,Gitlab,
31138,18626,Slack,
31143,18626,Microsoft Teams,
31148,18626,Microsoft Azure,
31153,18626,Trello,
31158,18629,Github,Github
31159,18629,,Microsoft Azure
31160,18629,,Microsoft Teams
31161,18629,Microsoft Teams,
31164,18629,Microsoft Azure,
31167,18632,Confluence,Confluence
31168,18632,,Github
31169,18632,,Jira
31170,18632,Jira,
31173,18632,Github,
31176,18632,Slack,
31179,18632,Microsoft Teams,
31182,18632,Trello,
31185,18632,"Google Suite (Docs, Meet, etc)",
31188,18632,Stack Overflow for Teams,
31191,18637,Github,Confluence
31192,18637,,Facebook Workplace
31193,18637,,Github
31194,18637,,Gitlab
31195,18637,,"Google Suite (Docs, Meet, etc)"
31196,18637,,Jira
31197,18637,,Microsoft Azure
31198,18637,,Microsoft Teams
31199,18637,,Slack
31200,18637,,Trello
31201,18637,Slack,
31211,18637,Stack Overflow for Teams,
31221,18640,Github,Github
31222,18640,,Slack
31223,18640,,Trello
31224,18640,Slack,
31227,18640,Trello,
31230,18645,Confluence,Facebook Workplace
31231,18645,,Github
31232,18645,,Gitlab
31233,18645,,"Google Suite (Docs, Meet, etc)"
31234,18645,,Jira
31235,18645,,Slack
31236,18645,Jira,
31242,18645,Github,
31248,18645,Gitlab,
31254,18645,Facebook Workplace,
31260,18645,Slack,
31266,18645,"Google Suite (Docs, Meet, etc)",
31272,18646,Github,Github
31273,18646,,Microsoft Azure
31274,18646,,Microsoft Teams
31275,18646,,Slack
31276,18646,Microsoft Teams,
31280,18646,Microsoft Azure,
31284,18664,Confluence,Confluence
31285,18664,,Github
31286,18664,,Jira
31287,18664,,Slack
31288,18664,Jira,
31292,18664,Github,
31296,18664,Slack,
31300,18707,Jira,Confluence
31301,18707,,Github
31302,18707,,"Google Suite (Docs, Meet, etc)"
31303,18707,,Jira
31304,18707,,Slack
31305,18707,Github,
31310,18707,Slack,
31315,18707,"Google Suite (Docs, Meet, etc)",
31320,18712,Github,Confluence
31321,18712,,Github
31322,18712,,Gitlab
31323,18712,,Jira
31324,18712,,Microsoft Azure
31325,18712,,Microsoft Teams
31326,18712,,Slack
31327,18712,,Trello
31328,18712,Slack,
31336,18712,Microsoft Teams,
31344,18712,Microsoft Azure,
31352,18726,Github,Github
31353,18726,,Gitlab
31354,18726,,"Google Suite (Docs, Meet, etc)"
31355,18726,,Slack
31356,18726,Slack,
31360,18726,"Google Suite (Docs, Meet, etc)",
31364,18731,Github,Github
31365,18731,,Microsoft Azure
31366,18731,,Microsoft Teams
31367,18731,Microsoft Teams,
31370,18731,Microsoft Azure,
31373,18732,Slack,Microsoft Azure
31374,18732,,Slack
31375,18732,Microsoft Azure,
31377,18743,Github,Github
31378,18743,,"Google Suite (Docs, Meet, etc)"
31379,18743,,Microsoft Azure
31380,18743,,Microsoft Teams
31381,18743,,Slack
31382,18743,Slack,
31387,18743,Microsoft Teams,
31392,18743,Microsoft Azure,
31397,18743,"Google Suite (Docs, Meet, etc)",
31402,18743,Stack Overflow for Teams,
31407,18753,Github,Github
31408,18753,,"Google Suite (Docs, Meet, etc)"
31409,18753,,Trello
31410,18753,"Google Suite (Docs, Meet, etc)",
31413,18764,Jira,Confluence
31414,18764,,Github
31415,18764,,Gitlab
31416,18764,,"Google Suite (Docs, Meet, etc)"
31417,18764,,Jira
31418,18764,,Slack
31419,18764,,Trello
31420,18764,Github,
31427,18764,Slack,
31434,18764,Trello,
31441,18764,"Google Suite (Docs, Meet, etc)",
31448,18787,Confluence,Confluence
31449,18787,,Github
31450,18787,,Gitlab
31451,18787,,Jira
31452,18787,,Microsoft Teams
31453,18787,,Slack
31454,18787,,Trello
31455,18787,Jira,
31462,18787,Github,
31469,18787,Gitlab,
31476,18787,Microsoft Teams,
31483,18792,Github,Github
31484,18792,,Gitlab
31485,18792,,Slack
31486,18792,,Trello
31487,18792,Gitlab,
31491,18792,Slack,
31495,18792,Trello,
31499,18792,Stack Overflow for Teams,
31503,18801,Confluence,Confluence
31504,18801,,Github
31505,18801,,"Google Suite (Docs, Meet, etc)"
31506,18801,,Jira
31507,18801,,Slack
31508,18801,,Trello
31509,18801,Jira,
31515,18801,Github,
31521,18801,Slack,
31527,18801,"Google Suite (Docs, Meet, etc)",
31533,18809,Confluence,Confluence
31534,18809,,Github
31535,18809,,Gitlab
31536,18809,,"Google Suite (Docs, Meet, etc)"
31537,18809,,Jira
31538,18809,,Slack
31539,18809,Jira,
31545,18809,Github,
31551,18809,Gitlab,
31557,18809,Slack,
31563,18809,"Google Suite (Docs, Meet, etc)",
31569,18813,Github,Confluence
31570,18813,,Github
31571,18813,,"Google Suite (Docs, Meet, etc)"
31572,18813,,Jira
31573,18813,,Slack
31574,18813,,Trello
31575,18813,Slack,
31581,18813,Trello,
31587,18813,"Google Suite (Docs, Meet, etc)",
31593,18838,Jira,Confluence
31594,18838,,Github
31595,18838,,Jira
31596,18838,,Slack
31597,18838,Github,
31601,18838,Slack,
31605,18846,Confluence,Confluence
31606,18846,,Github
31607,18846,,Gitlab
31608,18846,,"Google Suite (Docs, Meet, etc)"
31609,18846,,Jira
31610,18846,,Microsoft Azure
31611,18846,,Microsoft Teams
31612,18846,,Slack
31613,18846,,Trello
31614,18846,Jira,
31623,18846,Github,
31632,18846,Gitlab,
31641,18846,Microsoft Azure,
31650,18846,"Google Suite (Docs, Meet, etc)",
31659,18866,Github,Confluence
31660,18866,,Facebook Workplace
31661,18866,,Github
31662,18866,,"Google Suite (Docs, Meet, etc)"
31663,18866,,Jira
31664,18866,,Slack
31665,18866,,Trello
31666,18866,Slack,
31673,18866,Trello,
31680,18866,"Google Suite (Docs, Meet, etc)",
31687,18872,Confluence,Confluence
31688,18872,,Github
31689,18872,,"Google Suite (Docs, Meet, etc)"
31690,18872,,Jira
31691,18872,,Slack
31692,18872,,Trello
31693,18872,Jira,
31699,18872,Github,
31705,18872,Slack,
31711,18872,Trello,
31717,18872,"Google Suite (Docs, Meet, etc)",
31723,18877,Github,Confluence
31724,18877,,Github
31725,18877,,"Google Suite (Docs, Meet, etc)"
31726,18877,,Jira
31727,18877,,Microsoft Azure
31728,18877,,Slack
31729,18877,,Trello
31730,18877,Slack,
31737,18877,Trello,
31744,18888,Github,Confluence
31745,18888,,Github
31746,18888,,Gitlab
31747,18888,,Slack
31748,18888,Gitlab,
31752,18888,Slack,
31756,18888,Stack Overflow for Teams,
31760,18894,Microsoft Teams,Microsoft Azure
31761,18894,,Microsoft Teams
31762,18894,,Slack
31763,18894,Microsoft Azure,
31766,18903,Github,Confluence
31767,18903,,Github
31768,18903,,"Google Suite (Docs, Meet, etc)"
31769,18903,,Jira
31770,18903,,Microsoft Teams
31771,18903,,Slack
31772,18903,Slack,
31778,18903,"Google Suite (Docs, Meet, etc)",
31784,18916,Jira,Confluence
31785,18916,,Github
31786,18916,,"Google Suite (Docs, Meet, etc)"
31787,18916,,Jira
31788,18916,,Slack
31789,18916,Github,
31794,18916,Slack,
31799,18920,Github,Github
31800,18920,,Microsoft Azure
31801,18920,,Microsoft Teams
31802,18920,,Slack
31803,18920,Slack,
31807,18920,Microsoft Azure,
31811,18920,Stack Overflow for Teams,
31815,18933,Github,Github
31816,18933,,"Google Suite (Docs, Meet, etc)"
31817,18933,,Jira
31818,18933,,Slack
31819,18933,Gitlab,
31823,18937,Gitlab,Confluence
31824,18937,,Github
31825,18937,,Gitlab
31826,18937,,"Google Suite (Docs, Meet, etc)"
31827,18937,,Jira
31828,18937,,Slack
31829,18937,Slack,
31835,18937,"Google Suite (Docs, Meet, etc)",
31841,18945,Github,Github
31842,18964,Github,Confluence
31843,18964,,Github
31844,18964,,Gitlab
31845,18964,,"Google Suite (Docs, Meet, etc)"
31846,18964,,Jira
31847,18964,,Microsoft Azure
31848,18964,,Microsoft Teams
31849,18964,,Slack
31850,18964,,Trello
31851,18964,Gitlab,
31860,18964,Trello,
31869,18964,"Google Suite (Docs, Meet, etc)",
31878,18978,Jira,Github
31879,18978,,"Google Suite (Docs, Meet, etc)"
31880,18978,,Jira
31881,18978,,Trello
31882,18978,Github,
31886,18978,Slack,
31890,18978,Trello,
31894,18984,Github,Github
31895,18984,,Jira
31896,18984,,Microsoft Teams
31897,18984,,Slack
31898,18984,,Trello
31899,18984,Slack,
31904,18984,Trello,
31909,18999,Jira,Github
31910,18999,,"Google Suite (Docs, Meet, etc)"
31911,18999,,Jira
31912,18999,,Microsoft Azure
31913,18999,,Microsoft Teams
31914,18999,,Stack Overflow for Teams
31915,18999,Github,
31921,18999,Microsoft Teams,
31927,18999,Microsoft Azure,
31933,18999,"Google Suite (Docs, Meet, etc)",
31939,18999,Stack Overflow for Teams,
31945,19030,Jira,Github
31946,19030,,"Google Suite (Docs, Meet, etc)"
31947,19030,,Jira
31948,19030,,Slack
31949,19030,,Trello
31950,19030,Github,
31955,19030,Slack,
31960,19030,"Google Suite (Docs, Meet, etc)",
31965,19038,Jira,Confluence
31966,19038,,Github
31967,19038,,Jira
31968,19038,,Slack
31969,19038,,Trello
31970,19038,Github,
31975,19038,Gitlab,
31980,19038,Slack,
31985,19042,Github,Github
31986,19042,,Jira
31987,19042,,Slack
31988,19042,,Trello
31989,19042,Slack,
31993,19042,Trello,
31997,19045,Jira,Github
31998,19045,,"Google Suite (Docs, Meet, etc)"
31999,19045,,Jira
32000,19045,,Slack
32001,19045,,Trello
32002,19045,Github,
32007,19045,Slack,
32012,19045,Trello,
32017,19045,"Google Suite (Docs, Meet, etc)",
32022,19046,Gitlab,Github
32023,19046,,Gitlab
32024,19046,,"Google Suite (Docs, Meet, etc)"
32025,19046,,Slack
32026,19046,,Stack Overflow for Teams
32027,19046,"Google Suite (Docs, Meet, etc)",
32032,19046,Stack Overflow for Teams,
32037,19047,Gitlab,Gitlab
32038,19047,,Slack
32039,19047,Slack,
32041,19061,Github,Github
32042,19061,,"Google Suite (Docs, Meet, etc)"
32043,19061,,Microsoft Azure
32044,19061,,Trello
32045,19061,Microsoft Azure,
32049,19066,Github,Github
32050,19066,,Gitlab
32051,19066,,"Google Suite (Docs, Meet, etc)"
32052,19066,,Jira
32053,19066,,Slack
32054,19066,Gitlab,
32059,19066,Slack,
32064,19066,"Google Suite (Docs, Meet, etc)",
32069,19075,Github,Github
32070,19075,,Microsoft Teams
32071,19075,Microsoft Teams,
32073,19092,Github,Github
32074,19092,,Gitlab
32075,19092,,"Google Suite (Docs, Meet, etc)"
32076,19092,,Jira
32077,19092,,Slack
32078,19092,,Trello
32079,19092,Gitlab,
32085,19092,Slack,
32091,19092,Trello,
32097,19092,"Google Suite (Docs, Meet, etc)",
32103,19093,Confluence,Confluence
32104,19093,,Github
32105,19093,,"Google Suite (Docs, Meet, etc)"
32106,19093,,Jira
32107,19093,,Microsoft Azure
32108,19093,,Microsoft Teams
32109,19093,Jira,
32115,19093,Github,
32121,19093,Microsoft Teams,
32127,19093,Microsoft Azure,
32133,19093,"Google Suite (Docs, Meet, etc)",
32139,19099,Github,Confluence
32140,19099,,Github
32141,19099,,Jira
32142,19099,,Microsoft Azure
32143,19099,,Microsoft Teams
32144,19099,,Slack
32145,19099,Slack,
32151,19099,Microsoft Teams,
32157,19099,Microsoft Azure,
32163,19099,Stack Overflow for Teams,
32169,19108,Gitlab,Gitlab
32170,19108,,Microsoft Teams
32171,19108,,Stack Overflow for Teams
32172,19108,Microsoft Teams,
32175,19135,Gitlab,Github
32176,19135,,Microsoft Teams
32177,19136,Gitlab,Gitlab
32178,19136,,"Google Suite (Docs, Meet, etc)"
32179,19136,,Slack
32180,19136,Slack,
32183,19136,"Google Suite (Docs, Meet, etc)",
32186,19144,Gitlab,Github
32187,19144,,Gitlab
32188,19144,Microsoft Azure,
32190,19169,Github,Github
32191,19169,,Microsoft Azure
32192,19169,,Microsoft Teams
32193,19169,Microsoft Teams,
32196,19169,Microsoft Azure,
32199,19191,Github,Github
32200,19191,,Gitlab
32201,19191,,"Google Suite (Docs, Meet, etc)"
32202,19191,,Slack
32203,19191,Gitlab,
32207,19191,Slack,
32211,19191,"Google Suite (Docs, Meet, etc)",
32215,19197,Github,Confluence
32216,19197,,Github
32217,19197,,"Google Suite (Docs, Meet, etc)"
32218,19197,,Jira
32219,19197,,Microsoft Azure
32220,19197,,Microsoft Teams
32221,19197,,Slack
32222,19197,Slack,
32229,19199,Github,Github
32230,19199,,Slack
32231,19199,,Stack Overflow for Teams
32232,19199,Stack Overflow for Teams,
32235,19230,Jira,Github
32236,19230,,Jira
32237,19230,,Microsoft Azure
32238,19230,,Slack
32239,19230,Github,
32243,19230,Slack,
32247,19230,Microsoft Azure,
32251,19237,Jira,Github
32252,19237,,"Google Suite (Docs, Meet, etc)"
32253,19237,,Jira
32254,19237,,Slack
32255,19237,,Trello
32256,19237,Gitlab,
32261,19237,Slack,
32266,19237,"Google Suite (Docs, Meet, etc)",
32271,19261,Jira,Github
32272,19261,,Gitlab
32273,19261,,Jira
32274,19261,,Slack
32275,19261,Gitlab,
32279,19261,Slack,
32283,19266,Confluence,Confluence
32284,19266,,Jira
32285,19266,,Microsoft Azure
32286,19266,,Slack
32287,19266,,Trello
32288,19266,Jira,
32293,19266,Slack,
32298,19266,Microsoft Azure,
32303,19266,Trello,
32308,19306,Confluence,Confluence
32309,19306,,Github
32310,19306,,Jira
32311,19306,Jira,
32314,19306,Github,
32317,19306,Microsoft Azure,
32320,19392,Stack Overflow for Teams,Github
32321,19392,,Gitlab
32322,19392,,"Google Suite (Docs, Meet, etc)"
32323,19392,,Jira
32324,19392,,Slack
32325,19392,,Trello
32326,19396,Github,Confluence
32327,19396,,Github
32328,19396,,Jira
32329,19396,,Slack
32330,19396,Slack,
32334,19396,Stack Overflow for Teams,
32338,19439,Jira,Github
32339,19439,,Gitlab
32340,19439,,Jira
32341,19439,,Microsoft Teams
32342,19439,,Slack
32343,19439,Github,
32348,19439,Gitlab,
32353,19439,Slack,
32358,19439,Microsoft Teams,
32363,19440,Confluence,Confluence
32364,19440,,Github
32365,19440,,Gitlab
32366,19440,,Microsoft Azure
32367,19440,,Microsoft Teams
32368,19440,,Slack
32369,19440,Github,
32375,19440,Gitlab,
32381,19440,Slack,
32387,19440,Microsoft Teams,
32393,19440,Microsoft Azure,
32399,19452,Github,Github
32400,19452,,Slack
32401,19462,Jira,Github
32402,19462,,Jira
32403,19462,,Slack
32404,19462,Github,
32407,19462,Slack,
32410,19467,Microsoft Teams,Microsoft Teams
32411,19467,Microsoft Azure,
32412,19487,Confluence,Confluence
32413,19487,,Facebook Workplace
32414,19487,,Gitlab
32415,19487,,Jira
32416,19487,,Slack
32417,19487,Jira,
32422,19487,Gitlab,
32427,19487,Facebook Workplace,
32432,19487,Slack,
32437,19495,Gitlab,Gitlab
32438,19495,,Microsoft Teams
32439,19495,Stack Overflow for Teams,
32441,19506,Github,Github
32442,19506,,Gitlab
32443,19506,,"Google Suite (Docs, Meet, etc)"
32444,19506,,Slack
32445,19506,,Trello
32446,19506,Gitlab,
32451,19506,Slack,
32456,19506,Trello,
32461,19506,"Google Suite (Docs, Meet, etc)",
32466,19510,Github,Github
32467,19510,,"Google Suite (Docs, Meet, etc)"
32468,19510,"Google Suite (Docs, Meet, etc)",
32470,19526,Confluence,Confluence
32471,19526,,Github
32472,19526,,"Google Suite (Docs, Meet, etc)"
32473,19526,,Jira
32474,19526,,Slack
32475,19526,Jira,
32480,19526,Github,
32485,19526,Gitlab,
32490,19542,Trello,Confluence
32491,19542,,"Google Suite (Docs, Meet, etc)"
32492,19542,,Trello
32493,19542,"Google Suite (Docs, Meet, etc)",
32496,19547,Jira,Github
32497,19547,,Gitlab
32498,19547,,"Google Suite (Docs, Meet, etc)"
32499,19547,,Jira
32500,19547,,Slack
32501,19547,,Stack Overflow for Teams
32502,19547,Github,
32508,19547,Gitlab,
32514,19547,Slack,
32520,19547,Trello,
32526,19547,"Google Suite (Docs, Meet, etc)",
32532,19547,Stack Overflow for Teams,
32538,19560,Confluence,Github
32539,19560,,Jira
32540,19560,,Slack
32541,19560,,Trello
32542,19560,Trello,
32546,19574,Github,Github
32547,19574,,Slack
32548,19574,Slack,
32550,19579,Jira,Github
32551,19579,,Gitlab
32552,19579,,"Google Suite (Docs, Meet, etc)"
32553,19579,,Jira
32554,19579,,Slack
32555,19579,Github,
32560,19579,Gitlab,
32565,19579,Slack,
32570,19583,Github,Github
32571,19583,,Microsoft Teams
32572,19588,Confluence,Github
32573,19588,,Gitlab
32574,19588,,"Google Suite (Docs, Meet, etc)"
32575,19588,,Jira
32576,19588,,Microsoft Azure
32577,19588,,Microsoft Teams
32578,19588,,Slack
32579,19588,,Trello
32580,19588,Jira,
32588,19588,Github,
32596,19588,Gitlab,
32604,19588,Slack,
32612,19588,"Google Suite (Docs, Meet, etc)",
32620,19597,Confluence,Confluence
32621,19597,,Github
32622,19597,,Jira
32623,19597,,Slack
32624,19597,,Trello
32625,19597,Jira,
32630,19597,Github,
32635,19597,Slack,
32640,19597,Trello,
32645,19608,Github,Github
32646,19608,,"Google Suite (Docs, Meet, etc)"
32647,19608,,Slack
32648,19608,Slack,
32651,19608,"Google Suite (Docs, Meet, etc)",
32654,19614,Github,Github
32655,19614,,"Google Suite (Docs, Meet, etc)"
32656,19614,,Microsoft Azure
32657,19614,,Microsoft Teams
32658,19614,,Slack
32659,19614,,Trello
32660,19614,Slack,
32666,19614,Microsoft Teams,
32672,19614,Microsoft Azure,
32678,19614,Trello,
32684,19614,"Google Suite (Docs, Meet, etc)",
32690,19617,Github,Github
32691,19617,,"Google Suite (Docs, Meet, etc)"
32692,19617,,Slack
32693,19617,"Google Suite (Docs, Meet, etc)",
32696,19640,Github,Confluence
32697,19640,,Github
32698,19640,,Gitlab
32699,19640,,Jira
32700,19640,,Slack
32701,19640,Gitlab,
32706,19640,Slack,
32711,19646,Confluence,Confluence
32712,19646,,Gitlab
32713,19646,,Jira
32714,19646,,Microsoft Azure
32715,19646,,Slack
32716,19646,Jira,
32721,19646,Slack,
32726,19646,Microsoft Azure,
32731,19647,Github,Confluence
32732,19647,,Github
32733,19647,,Jira
32734,19647,,Microsoft Teams
32735,19655,Jira,Confluence
32736,19655,,Github
32737,19655,,"Google Suite (Docs, Meet, etc)"
32738,19655,,Jira
32739,19655,,Slack
32740,19655,Github,
32745,19655,Slack,
32750,19655,"Google Suite (Docs, Meet, etc)",
32755,19689,Confluence,Confluence
32756,19689,,"Google Suite (Docs, Meet, etc)"
32757,19689,,Jira
32758,19689,,Microsoft Azure
32759,19689,,Slack
32760,19689,,Trello
32761,19689,Jira,
32767,19689,Slack,
32773,19689,Microsoft Azure,
32779,19689,"Google Suite (Docs, Meet, etc)",
32785,19690,Github,Github
32786,19690,,Slack
32787,19690,,Trello
32788,19690,Slack,
32791,19708,Github,Confluence
32792,19708,,Github
32793,19708,,Gitlab
32794,19708,,"Google Suite (Docs, Meet, etc)"
32795,19708,,Jira
32796,19708,,Slack
32797,19708,Slack,
32803,19708,Trello,
32809,19708,"Google Suite (Docs, Meet, etc)",
32815,19719,Confluence,Confluence
32816,19719,,Github
32817,19719,,Jira
32818,19719,,Slack
32819,19719,,Trello
32820,19719,Jira,
32825,19719,Github,
32830,19719,Slack,
32835,19719,Trello,
32840,19719,Stack Overflow for Teams,
32845,19726,Stack Overflow for Teams,Github
32846,19744,Github,Github
32847,19744,,Gitlab
32848,19744,,Jira
32849,19744,,Microsoft Teams
32850,19744,,Slack
32851,19744,,Trello
32852,19744,Slack,
32858,19747,Github,Confluence
32859,19747,,Github
32860,19747,,"Google Suite (Docs, Meet, etc)"
32861,19747,,Jira
32862,19747,,Microsoft Teams
32863,19747,,Slack
32864,19747,Slack,
32870,19747,Trello,
32876,19747,"Google Suite (Docs, Meet, etc)",
32882,19765,Github,Github
32883,19765,,Gitlab
32884,19765,,Slack
32885,19765,Gitlab,
32888,19765,Slack,
32891,19771,Github,Confluence
32892,19771,,Github
32893,19771,,"Google Suite (Docs, Meet, etc)"
32894,19771,,Jira
32895,19771,,Microsoft Azure
32896,19771,,Slack
32897,19778,Github,Confluence
32898,19778,,Github
32899,19778,,Gitlab
32900,19778,,"Google Suite (Docs, Meet, etc)"
32901,19778,,Jira
32902,19778,,Slack
32903,19778,,Trello
32904,19778,Gitlab,
32911,19778,Stack Overflow for Teams,
32918,19783,Github,Github
32919,19783,,Gitlab
32920,19783,,"Google Suite (Docs, Meet, etc)"
32921,19783,,Slack
32922,19783,Gitlab,
32926,19789,Github,Github
32927,19789,,Gitlab
32928,19789,,"Google Suite (Docs, Meet, etc)"
32929,19789,,Slack
32930,19789,,Trello
32931,19789,Gitlab,
32936,19789,Slack,
32941,19789,Trello,
32946,19789,"Google Suite (Docs, Meet, etc)",
32951,19793,Microsoft Azure,Confluence
32952,19793,,Facebook Workplace
32953,19793,,Github
32954,19793,,Jira
32955,19793,,Microsoft Azure
32956,19793,,Microsoft Teams
32957,19793,,Slack
32958,19793,,Stack Overflow for Teams
32959,19793,,Trello
32960,19793,Trello,
32969,19793,Stack Overflow for Teams,
32978,19826,Github,Github
32979,19826,,Gitlab
32980,19826,,"Google Suite (Docs, Meet, etc)"
32981,19826,,Slack
32982,19826,,Trello
32983,19826,Gitlab,
32988,19826,Trello,
32993,19843,Microsoft Azure,Github
32994,19843,,Jira
32995,19843,,Microsoft Azure
32996,19843,,Slack
32997,19843,,Stack Overflow for Teams
32998,19843,Stack Overflow for Teams,
33003,19848,Github,Confluence
33004,19848,,Github
33005,19848,,"Google Suite (Docs, Meet, etc)"
33006,19848,,Slack
33007,19848,Slack,
33011,19848,"Google Suite (Docs, Meet, etc)",
33015,19848,Stack Overflow for Teams,
33019,19858,Jira,Github
33020,19858,,Jira
33021,19858,,Microsoft Azure
33022,19858,Github,
33025,19858,Microsoft Azure,
33028,19872,Slack,Slack
33029,19872,Stack Overflow for Teams,
33030,19889,Jira,Github
33031,19889,,Gitlab
33032,19889,,"Google Suite (Docs, Meet, etc)"
33033,19889,,Jira
33034,19889,,Slack
33035,19889,Github,
33040,19889,Gitlab,
33045,19889,Slack,
33050,19889,Trello,
